Neutral Particles for 350 (Cache Slough),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",,,,,,
"-5,000",0.5,54.1,99.6,0.1,0.0,0.0
"-3,500",0.8,55.8,99.3,0.1,0.0,0.0
"-2,000",0.9,57.7,99.1,0.0,0.0,0.0
"-6,500",,,,,,
"-5,000",11.8,67.2,90.1,1.4,0.3,0.2
"-3,500",15.2,68.5,85.8,0.6,0.1,0.2
"-2,000",17.8,69.9,82.6,0.3,0.0,0.0
"-6,500",,,,,,
"-5,000",28.2,72.2,76.0,2.2,1.3,0.7
"-3,500",34.8,73.6,68.0,1.6,0.6,0.5
"-2,000",42.3,75.1,58.2,0.5,0.0,0.0
