Date,Scenario,SUT_RATIO,STM_RATIO,SACR_SS_RATIO,SACR_GEO_RATIO,GEO_RATIO,DCC_RATIO,SUT_SUV,STM_SUV,SAC_SUV,GEO_SUV,DCC_SUV,Combined_suv,Model_Run
20-May-26,historical,0.09,0.07,0.83,0.73,0.25,0.02,40%,52%,46%,29%,0%,41%,A
20-May-26,historical,0.10,0.07,0.83,0.74,0.25,0.01,35%,53%,45%,25%,0%,40%,B
20-May-26,historical,0.10,0.07,0.83,0.71,0.28,0.02,37%,52%,45%,28%,0%,40%,C
