Surface Oriented Particles for 99 (Old River),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",,,,,,
"-5,000",0.0,0.2,19.0,45.9,25.6,9.4
"-3,500",0.0,0.5,30.5,52.5,12.9,4.1
"-2,000",0.0,0.3,47.6,52.1,0.2,0.1
"-6,500",,,,,,
"-5,000",0.0,1.2,14.3,24.9,33.8,27.0
"-3,500",1.1,2.3,23.4,33.4,25.1,17.1
"-2,000",1.7,4.7,41.0,41.6,11.8,3.9
"-6,500",,,,,,
"-5,000",1.8,2.7,10.8,16.0,37.8,33.6
"-3,500",4.5,4.9,15.9,23.9,29.7,26.0
"-2,000",8.8,8.5,30.8,35.9,15.6,8.9
