Neutral Particles for 469 (Jersey Point),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",,,,,,
"-5,000",1.6,12.9,100.1,1.6,0.0,0.1
"-3,500",1.4,12.6,99.7,1.2,0.0,0.0
"-2,000",2.5,13.8,98.0,0.6,0.0,0.0
"-6,500",,,,,,
"-5,000",8.7,23.3,98.9,5.5,1.4,0.7
"-3,500",10.3,23.1,93.2,2.7,0.7,0.1
"-2,000",15.9,24.3,85.8,1.5,0.1,0.1
"-6,500",,,,,,
"-5,000",19.4,29.7,93.4,5.9,4.6,2.4
"-3,500",28.4,29.9,78.9,4.5,2.3,0.5
"-2,000",39.1,27.6,64.4,3.0,0.4,0.1
