Neutral Particles for 99 (Old River),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",,,,,,
"-5,000",0.0,0.2,16.5,52.1,22.6,8.8
"-3,500",0.0,0.5,28.7,61.6,8.0,1.7
"-2,000",0.0,0.4,48.3,51.7,0.0,0.0
"-6,500",,,,,,
"-5,000",0.0,0.6,11.8,25.8,33.5,28.9
"-3,500",0.2,2.4,21.2,37.3,26.2,15.1
"-2,000",0.3,3.2,41.9,43.5,12.2,2.1
"-6,500",,,,,,
"-5,000",0.1,1.4,9.8,15.5,37.4,37.2
"-3,500",1.6,4.6,17.1,27.0,30.3,24.0
"-2,000",4.5,7.0,33.4,38.2,16.9,7.0
