Surface Oriented Particles for 350 (Cache Slough),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",,,,,,
"-5,000",3.8,50.8,96.6,0.4,0.0,0.0
"-3,500",5.2,53.9,95.2,0.4,0.0,0.0
"-2,000",6.4,53.7,93.8,0.2,0.0,0.0
"-6,500",,,,,,
"-5,000",21.8,63.3,80.8,1.8,0.6,0.2
"-3,500",27.8,66.3,73.7,1.0,0.3,0.1
"-2,000",31.4,63.7,69.3,0.6,0.1,0.0
"-6,500",,,,,,
"-5,000",43.4,69.4,62.5,3.0,2.1,0.8
"-3,500",51.7,71.7,51.4,2.3,0.6,0.2
"-2,000",56.3,70.5,45.1,1.1,0.1,0.1
