"                               Region
       Metric","West 

(359)","Suisun

(329, 420)","Sacramento/
North Delta 

(314, 323, 350)","Lower San Joaquin

(34, 41, 46, 469)","Lower Sacramento

(465, 353)","South Delta

(29, 86, 99, 225)","East

(249, 261)",Delta-wide Total (#),Delta-wide Total (%)
LFS Larva Abundance Estimate,"117,633,687","145,677,478","304,865","4,078,739","3,695,676",0,0,"271,390,445",-
PTM Entrained (%),,,,,,,,,
PTM Entrained (%),0,0,0.4,5.3,0.4,0,0,-,-
PTM Entrained (%),0,0,0.1,1.6,0.1,0,0,-,-
PTM Entrained (%),0,0,0,0.4,0,0,0,-,-
Smelt Larva Entrained (#),,,,,,,,,
Smelt Larva Entrained (#),0,0,"1,219","216,546","13,106",0,0,"230,872",<0.1%
Smelt Larva Entrained (#),0,0,305,"65,773","4,907",0,0,"70,985",<0.1%
Smelt Larva Entrained (#),0,0,0,"14,702",0,0,0,"14,702",<0.1%
