"                               Region
       Metric","West 

(359)","Suisun

(329, 420)","Sacramento/
North Delta 

(314, 323, 350)","Lower San Joaquin

(34, 41, 46, 469)","Lower Sacramento

(465, 353)","South Delta

(29, 86, 99, 225)","East

(249, 261)",Delta-wide Total (#),Delta-wide Total (%)
LFS Larva Abundance Estimate,"117,633,687","145,677,478","304,865","4,078,739","3,695,676",0,0,"271,390,445",-
PTM Entrained (%),,,,,,,,,
PTM Entrained (%),0,<0.1,2.5,10.8,1.3,0,0,-,-
PTM Entrained (%),0,0,0.5,5.2,0.5,0,0,-,-
PTM Entrained (%),0,0,0,1.2,<0.1,0,0,-,-
Smelt Larva Entrained (#),,,,,,,,,
Smelt Larva Entrained (#),0,"8,914","7,622","439,509","49,566",0,0,"505,611",0.20%
Smelt Larva Entrained (#),0,0,"1,524","213,854","20,094",0,0,"235,472",<0.1%
Smelt Larva Entrained (#),0,0,0,"49,562",404,0,0,"49,965",<0.1%
