Neutral Particles for 469 (Jersey Point),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",2.3,12.0,99.0,1.3,0.0,0.0
"-5,000",2.3,12.0,99.0,1.3,0.0,0.0
"-3,500",2.1,13.1,98.9,1.0,0.0,0.0
"-2,000",2.8,11.7,97.7,0.5,0.0,0.0
"-6,500",19.9,22.9,83.1,1.3,1.6,0.1
"-5,000",19.9,22.9,83.1,1.3,1.6,0.1
"-3,500",22.3,23.3,80.7,2.0,1.1,0.0
"-2,000",28.4,22.3,72.7,1.1,0.0,0.0
"-6,500",35.1,27.4,70.8,2.5,3.3,0.1
"-5,000",35.1,27.4,70.8,2.5,3.3,0.1
"-3,500",38.0,25.9,67.6,2.6,2.9,0.1
"-2,000",50.3,24.4,52.1,1.5,0.8,0.1
