Surface Oriented Particles for 350 (Cache Slough),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",4.1,51.1,96.4,0.5,0.0,0.0
"-5,000",4.1,51.1,96.4,0.5,0.0,0.0
"-3,500",4.9,51.0,95.1,0.0,0.0,0.0
"-2,000",6.0,54.7,94.0,0.0,0.0,0.0
"-6,500",38.5,64.9,63.5,1.3,0.6,0.1
"-5,000",38.5,64.9,63.5,1.3,0.6,0.1
"-3,500",39.8,67.1,61.3,0.8,0.2,0.1
"-2,000",49.0,67.9,51.5,0.5,0.0,0.0
"-6,500",59.1,70.0,45.1,1.5,2.6,0.1
"-5,000",59.1,70.0,45.1,1.5,2.6,0.1
"-3,500",63.5,72.0,38.9,0.9,1.4,0.1
"-2,000",70.9,72.5,30.0,0.8,0.1,0.0
