Surface Oriented Particles for 469 (Jersey Point),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",5.8,12.2,95.9,1.5,0.2,0.0
"-5,000",5.8,12.2,95.9,1.5,0.2,0.0
"-3,500",7.4,11.2,94.2,1.5,0.0,0.0
"-2,000",8.0,13.0,92.7,0.8,0.0,0.0
"-6,500",37.3,22.9,68.1,3.4,1.9,0.1
"-5,000",37.3,22.9,68.1,3.4,1.9,0.1
"-3,500",41.8,21.5,61.6,2.4,0.9,0.1
"-2,000",52.6,22.6,48.7,1.2,0.1,0.0
"-6,500",59.3,26.5,49.4,3.6,5.0,0.1
"-5,000",59.3,26.5,49.4,3.6,5.0,0.1
"-3,500",63.5,23.9,42.3,2.5,3.2,0.1
"-2,000",73.3,24.2,29.2,1.8,0.6,0.1
