"                               Region
       Metric","West 

(359)","Suisun

(329, 420)","Sacramento/
North Delta 

(314, 323, 350)","Lower San Joaquin

(34, 41, 46, 469)","Lower Sacramento

(465, 353)","South Delta

(29, 86, 99, 225)","East

(249, 261)",Delta-wide Total (#),Delta-wide Total (%)
LFS Larva Abundance Estimate,"117,633,687","145,677,478","304,865","4,078,739","3,695,676",0,0,"271,390,445",-
PTM Entrained (%),0.0,0.0,0.3,3.1,0.2,0.0,0.0,-,-
PTM Entrained (%),0.0,0.0,0.3,3.1,0.2,0.0,0.0,-,-
PTM Entrained (%),0.0,0.0,0.1,2.2,0.2,0.0,0.0,-,-
PTM Entrained (%),0.0,0.0,0.0,0.2,0.0,0.0,0.0,-,-
Smelt Larva Entrained (#),0,0,915,"126,808","7,391",0,0,"135,113",<0.1%
Smelt Larva Entrained (#),0,0,915,"126,808","7,391",0,0,"135,113",<0.1%
Smelt Larva Entrained (#),0,0,305,"87,850","9,006",0,0,"97,161",<0.1%
Smelt Larva Entrained (#),0,0,0,"8,001",0,0,0,"8,001",<0.1%
