Surface Oriented Particles for 465 (Chipps),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",71.6,-0.3,28.4,0.0,0.0,0.0
"-5,000",71.6,-0.3,28.4,0.0,0.0,0.0
"-3,500",71.9,-0.2,28.1,0.0,0.0,0.0
"-2,000",75.9,0.0,24.1,0.0,0.0,0.0
"-6,500",88.7,-0.1,11.3,0.0,0.0,0.0
"-5,000",88.7,-0.1,11.3,0.0,0.0,0.0
"-3,500",90.1,0.0,10.0,0.1,0.0,0.0
"-2,000",93.2,-0.1,6.8,0.0,0.0,0.0
"-6,500",94.9,-0.2,5.1,0.0,0.0,0.0
"-5,000",94.9,-0.2,5.1,0.0,0.0,0.0
"-3,500",95.0,0.1,5.1,0.1,0.0,0.0
"-2,000",97.1,0.0,2.9,0.0,0.0,0.0
