"                               Region
       Metric","West 

(359)","Suisun

(329, 420)","Sacramento/
North Delta 

(314, 323, 350)","Lower San Joaquin

(34, 41, 46, 469)","Lower Sacramento

(465, 353)","South Delta

(29, 86, 99, 225)","East

(249, 261)",Delta-wide Total (#),Delta-wide Total (%)
LFS Larva Abundance Estimate,"117,633,687","145,677,478","304,865","4,078,739","3,695,676",0,0,"271,390,445",-
PTM Entrained (%),0.0,0.0,1.3,8.2,0.8,0.0,0.0,-,-
PTM Entrained (%),0.0,0.0,1.3,8.2,0.8,0.0,0.0,-,-
PTM Entrained (%),0.0,0.0,1.2,6.3,0.4,0.0,0.0,-,-
PTM Entrained (%),0.0,0.0,0.0,1.5,0.0,0.0,0.0,-,-
Smelt Larva Entrained (#),0,0,"3,963","335,402","31,181",0,0,"370,545",0.1%
Smelt Larva Entrained (#),0,0,"3,963","335,402","31,181",0,0,"370,545",0.1%
Smelt Larva Entrained (#),0,0,"3,658","256,981","14,721",0,0,"275,361",0.1%
Smelt Larva Entrained (#),0,0,0,"59,745",0,0,0,"59,745",<0.1%
