Neutral Particles for 350 (Cache Slough),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",0.4,51.3,99.6,0.0,0.0,0.0
"-5,000",0.4,51.3,99.6,0.0,0.0,0.0
"-3,500",1.0,54.3,99.1,0.1,0.0,0.0
"-2,000",0.8,56.3,99.3,0.1,0.0,0.0
"-6,500",22.5,68.5,78.6,0.8,0.2,0.1
"-5,000",22.5,68.5,78.6,0.8,0.2,0.1
"-3,500",27.1,69.6,73.8,0.6,0.2,0.1
"-2,000",33.0,70.6,67.3,0.3,0.0,0.0
"-6,500",39.0,74.5,63.6,1.4,1.1,0.1
"-5,000",39.0,74.5,63.6,1.4,1.1,0.1
"-3,500",44.3,73.8,57.5,0.7,1.0,0.1
"-2,000",53.8,74.5,46.9,0.5,0.2,0.0
