Neutral Particles for 469 (Jersey Point),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",2.4,20.9,97.9,0.3,0.0,0.0
"-5,000",2.4,20.9,97.9,0.3,0.0,0.0
"-3,500",2.8,20.8,97.2,0.0,0.0,0.0
"-2,000",2.8,19.0,97.3,0.0,0.0,0.0
"-6,500",19.4,27.3,82.8,1.8,0.4,0.0
"-5,000",19.4,27.3,82.8,1.8,0.4,0.0
"-3,500",23.8,27.3,77.5,1.2,0.1,0.0
"-2,000",32.1,26.2,68.1,0.2,0.0,0.0
"-6,500",41.0,33.4,63.4,2.2,2.1,0.1
"-5,000",41.0,33.4,63.4,2.2,2.1,0.1
"-3,500",52.4,32.0,49.9,1.2,1.1,0.0
"-2,000",62.3,30.3,38.5,0.7,0.0,0.0
