Neutral Particles for 99 (Old River),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",0.0,1.1,32.8,53.4,13.7,0.1
"-5,000",0.0,1.1,32.8,53.4,13.7,0.1
"-3,500",0.0,0.9,47.5,52.5,0.0,0.0
"-2,000",0.0,0.8,67.9,32.1,0.0,0.0
"-6,500",0.4,2.7,24.1,29.1,44.8,1.7
"-5,000",0.4,2.7,24.1,29.1,44.8,1.7
"-3,500",0.9,3.6,35.3,35.9,26.9,1.0
"-2,000",1.4,5.0,60.4,38.0,0.1,0.0
"-6,500",2.9,4.8,20.1,21.9,51.9,3.3
"-5,000",2.9,4.8,20.1,21.9,51.9,3.3
"-3,500",5.8,6.1,28.3,26.8,36.4,2.7
"-2,000",13.5,9.3,46.8,36.7,2.7,0.2
