Surface Oriented Particles for 465 (Chipps),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",78.1,<0.1,21.9,0.0,0.0,0.0
"-5,000",78.1,<0.1,21.9,0.0,0.0,0.0
"-3,500",80.5,0.1,19.5,0.0,0.0,0.0
"-2,000",82.0,-0.1,18.0,0.0,0.0,0.0
"-6,500",87.1,0.3,13.0,0.0,0.1,0.0
"-5,000",87.1,0.3,13.0,0.0,0.1,0.0
"-3,500",88.4,0.0,11.6,0.0,0.0,0.0
"-2,000",90.4,-0.2,9.6,0.0,0.0,0.0
"-6,500",93.2,0.4,6.9,0.0,0.1,0.0
"-5,000",93.2,0.4,6.9,0.0,0.1,0.0
"-3,500",95.8,0.1,4.2,0.0,0.0,0.0
"-2,000",95.7,-0.1,4.3,0.0,0.0,0.0
