Surface Oriented Particles for 469 (Jersey Point),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",8.0,20.3,92.4,0.4,0.0,0.0
"-5,000",8.0,20.3,92.4,0.4,0.0,0.0
"-3,500",8.5,20.9,91.8,0.3,0.0,0.0
"-2,000",10.9,20.1,89.3,0.2,0.0,0.0
"-6,500",35.1,25.8,68.4,2.0,1.4,0.1
"-5,000",35.1,25.8,68.4,2.0,1.4,0.1
"-3,500",39.9,24.5,62.0,1.5,0.4,0.0
"-2,000",46.6,24.7,54.4,0.9,0.1,0.0
"-6,500",57.8,30.9,49.1,2.8,3.9,0.1
"-5,000",57.8,30.9,49.1,2.8,3.9,0.1
"-3,500",67.1,28.5,36.6,1.9,1.7,0.1
"-2,000",78.3,26.9,22.8,0.9,0.1,0.0
