Surface Oriented Particles for 350 (Cache Slough),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",13.0,63.2,87.1,0.1,0.0,0.0
"-5,000",13.0,63.2,87.1,0.1,0.0,0.0
"-3,500",14.2,64.3,85.8,0.0,0.0,0.0
"-2,000",17.9,65.0,82.1,0.0,0.0,0.0
"-6,500",42.3,69.6,59.9,1.4,0.8,0.0
"-5,000",42.3,69.6,59.9,1.4,0.8,0.0
"-3,500",47.2,71.0,53.6,0.6,0.2,0.0
"-2,000",51.8,71.7,48.7,0.5,0.0,0.0
"-6,500",64.5,74.5,39.4,0.9,3.0,0.0
"-5,000",64.5,74.5,39.4,0.9,3.0,0.0
"-3,500",72.3,76.0,28.9,0.4,0.7,0.1
"-2,000",77.3,75.0,23.4,0.6,0.0,0.0
