Neutral Particles for 350 (Cache Slough),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",4.8,67.3,95.6,0.3,0.0,0.0
"-5,000",4.8,67.3,95.6,0.3,0.0,0.0
"-3,500",5.4,65.8,94.8,0.2,0.0,0.0
"-2,000",6.0,67.3,94.2,0.2,0.0,0.0
"-6,500",29.8,70.9,72.1,1.3,0.5,0.1
"-5,000",29.8,70.9,72.1,1.3,0.5,0.1
"-3,500",35.8,73.2,64.8,0.4,0.0,0.1
"-2,000",40.0,72.5,60.6,0.6,0.0,0.0
"-6,500",52.0,75.1,51.3,1.0,2.2,0.1
"-5,000",52.0,75.1,51.3,1.0,2.2,0.1
"-3,500",60.4,78.0,40.7,0.9,0.1,0.1
"-2,000",69.1,77.4,31.5,0.6,0.0,0.0
