Surface Oriented Particles for 99 (Old River),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",0.1,1.0,38.2,37.1,24.4,0.2
"-5,000",0.1,1.0,38.2,37.1,24.4,0.2
"-3,500",0.1,1.5,47.2,49.4,3.3,0.1
"-2,000",0.3,1.7,64.5,35.2,0.0,0.0
"-6,500",2.3,3.5,29.7,21.9,44.5,1.7
"-5,000",2.3,3.5,29.7,21.9,44.5,1.7
"-3,500",2.8,4.3,36.0,32.3,27.7,1.2
"-2,000",5.0,5.7,53.1,40.9,0.9,0.1
"-6,500",7.9,5.8,19.8,18.1,50.8,3.4
"-5,000",7.9,5.8,19.8,18.1,50.8,3.4
"-3,500",11.7,8.0,25.1,25.2,35.3,2.8
"-2,000",18.8,10.2,38.5,37.0,4.6,1.0
