Neutral Particles for 465 (Chipps),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",67.5,0.0,32.5,0.0,0.0,0.0
"-5,000",67.5,0.0,32.5,0.0,0.0,0.0
"-3,500",71.4,0.0,28.6,0.0,0.0,0.0
"-2,000",75.1,0.0,24.9,0.0,0.0,0.0
"-6,500",73.5,0.1,26.5,0.0,0.0,0.0
"-5,000",73.5,0.1,26.5,0.0,0.0,0.0
"-3,500",81.9,-0.1,18.2,0.1,0.0,0.0
"-2,000",84.2,0.1,15.8,0.0,0.0,0.0
"-6,500",86.2,0.6,13.8,0.0,0.0,0.0
"-5,000",86.2,0.6,13.8,0.0,0.0,0.0
"-3,500",89.8,0.4,10.3,0.1,0.0,0.0
"-2,000",93.1,0.4,6.9,0.0,0.0,0.0
