Neutral Particles for 99 (Old River),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",-,-,-,-,-,-
"-5,000",0.1,1,64.1,35.8,0,0
"-3,500",0,0.5,54,46,0,0
"-2,000",0,0.5,54,46,0,0
"-6,500",-,-,-,-,-,-
"-5,000",4,5.9,48.7,35.4,11.7,0.3
"-3,500",1,4.3,44.7,43.7,10,0.7
"-2,000",0.9,4.5,47.4,48.9,2.3,0.5
"-6,500",-,-,-,-,-,-
"-5,000",7.6,9.6,38.9,25.1,26.7,1.7
"-3,500",3.9,6.4,36,38,19.3,2.8
"-2,000",4,6.6,41.7,45.5,6.3,2.5
