Surface Oriented Particles for 99 (Old River),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",-,-,-,-,-,-
"-5,000",0.1,0.9,66.7,33.2,0,0
"-3,500",0.1,0.4,59.4,40.5,0,0
"-2,000",0.1,0.4,59.4,40.5,0,0
"-6,500",-,-,-,-,-,-
"-5,000",5.2,7.9,52.4,28.7,13.3,0.4
"-3,500",1.6,5,50.6,36.7,10.2,0.9
"-2,000",2.6,5.3,50.8,41.4,4.3,0.9
"-6,500",-,-,-,-,-,-
"-5,000",13.9,11.1,37.8,22.2,24.6,1.4
"-3,500",7.3,7.5,40.6,30.5,18.2,3.4
"-2,000",8.9,7.8,41.6,37.8,8.7,3
