Neutral Particles for 350 (Cache Slough),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",-,-,-,-,-,-
"-5,000",23.7,80,76.4,0.1,0,0
"-3,500",0.5,68.3,99.5,0,0,0
"-2,000",0.5,68.3,99.5,0,0,0
"-6,500",-,-,-,-,-,-
"-5,000",65.4,83.2,34.8,0.2,0,0
"-3,500",29.7,75.6,70.7,0.4,0,0
"-2,000",30.9,75.3,69.4,0.3,0,0
"-6,500",-,-,-,-,-,-
"-5,000",70.3,85.9,30.4,0.6,0,0.1
"-3,500",41.1,77.6,59.6,0.5,0.1,0.1
"-2,000",44.9,77.9,55.5,0.4,0,0
