Neutral Particles for 350 (Cache Slough),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",30.8,80.8,69.2,0.0,0.0,0.0
"-5,000",30.8,80.8,69.2,0.0,0.0,0.0
"-3,500",30.8,80.8,69.2,0.0,0.0,0.0
"-2,000",30.8,80.8,69.2,0.0,0.0,0.0
"-6,500",68.1,84.1,31.9,0.0,0.0,0.0
"-5,000",68.1,84.1,31.9,0.0,0.0,0.0
"-3,500",68.1,84.1,31.9,0.0,0.0,0.0
"-2,000",68.1,84.1,31.9,0.0,0.0,0.0
"-6,500",80.6,86.0,19.7,0.3,0.0,0.0
"-5,000",80.6,86.0,19.7,0.3,0.0,0.0
"-3,500",80.6,86.0,19.7,0.3,0.0,0.0
"-2,000",80.6,86.0,19.7,0.3,0.0,0.0
