Surface Oriented Particles for 465 (Chipps),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",95.5,0.0,4.5,0.0,0.0,0.0
"-5,000",95.5,0.0,4.5,0.0,0.0,0.0
"-3,500",95.5,0.0,4.5,0.0,0.0,0.0
"-2,000",95.5,0.0,4.5,0.0,0.0,0.0
"-6,500",98.4,0.0,1.6,0.0,0.0,0.0
"-5,000",98.4,0.0,1.6,0.0,0.0,0.0
"-3,500",98.4,0.0,1.6,0.0,0.0,0.0
"-2,000",98.4,0.0,1.6,0.0,0.0,0.0
"-6,500",98.6,0.0,1.4,0.0,0.0,0.0
"-5,000",98.6,0.0,1.4,0.0,0.0,0.0
"-3,500",98.6,0.0,1.4,0.0,0.0,0.0
"-2,000",98.6,0.0,1.4,0.0,0.0,0.0
