Neutral Particles for 469 (Jersey Point),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",11.1,15.6,88.9,0.0,0.0,0.0
"-5,000",11.1,15.6,88.9,0.0,0.0,0.0
"-3,500",11.1,15.6,88.9,0.0,0.0,0.0
"-2,000",11.1,15.6,88.9,0.0,0.0,0.0
"-6,500",46.4,19.9,53.7,0.1,0.0,0.0
"-5,000",46.4,19.9,53.7,0.1,0.0,0.0
"-3,500",46.4,19.9,53.7,0.1,0.0,0.0
"-2,000",46.4,19.9,53.7,0.1,0.0,0.0
"-6,500",70.1,22.1,30.2,0.3,0.0,0.0
"-5,000",70.1,22.1,30.2,0.3,0.0,0.0
"-3,500",70.1,22.1,30.2,0.3,0.0,0.0
"-2,000",70.1,22.1,30.2,0.3,0.0,0.0
