Surface Oriented Particles for 99 (Old River),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",0.3,2.0,58.9,40.7,0.1,0.0
"-5,000",0.3,2.0,58.9,40.7,0.1,0.0
"-3,500",0.3,2.0,58.9,40.7,0.1,0.0
"-2,000",0.3,2.0,58.9,40.7,0.1,0.0
"-6,500",8.1,5.4,44.4,35.7,10.6,1.2
"-5,000",8.1,5.4,44.4,35.7,10.6,1.2
"-3,500",8.1,5.4,44.4,35.7,10.6,1.2
"-2,000",8.1,5.4,44.4,35.7,10.6,1.2
"-6,500",18.7,9.3,31.1,31.7,13.8,4.7
"-5,000",18.7,9.3,31.1,31.7,13.8,4.7
"-3,500",18.7,9.3,31.1,31.7,13.8,4.7
"-2,000",18.7,9.3,31.1,31.7,13.8,4.7
