Neutral Particles for 99 (Old River),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",0.0,1.1,62.9,37.1,0.0,0.0
"-5,000",0.0,1.1,62.9,37.1,0.0,0.0
"-3,500",0.0,1.1,62.9,37.1,0.0,0.0
"-2,000",0.0,1.1,62.9,37.1,0.0,0.0
"-6,500",2.1,5.1,52.5,39.6,5.2,0.6
"-5,000",2.1,5.1,52.5,39.6,5.2,0.6
"-3,500",2.1,5.1,52.5,39.6,5.2,0.6
"-2,000",2.1,5.1,52.5,39.6,5.2,0.6
"-6,500",10.3,10.6,41.4,35.5,9.7,3.1
"-5,000",10.3,10.6,41.4,35.5,9.7,3.1
"-3,500",10.3,10.6,41.4,35.5,9.7,3.1
"-2,000",10.3,10.6,41.4,35.5,9.7,3.1
