Surface Oriented Particles for 469 (Jersey Point),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",3.6,18.8,97.7,1.1,0.2,0.0
"-5,000",3.6,18.8,97.7,1.1,0.2,0.0
"-3,500",4.8,19.3,95.9,0.7,0.0,0.0
"-2,000",6.2,19.1,94.5,0.7,0.0,0.0
"-6,500",30.6,25.8,75.2,3.4,2.3,0.1
"-5,000",30.6,25.8,75.2,3.4,2.3,0.1
"-3,500",33.2,26.0,70.9,3.6,0.4,0.1
"-2,000",46.7,24.6,54.7,1.3,0.0,0.1
"-6,500",39.7,27.6,69.7,3.3,5.4,0.7
"-5,000",39.7,27.6,69.7,3.3,5.4,0.7
"-3,500",46.8,28.8,59.5,2.4,3.2,0.6
"-2,000",62.1,27.4,40.3,2.3,0.0,0.1
