"                               Region
       Metric","West 

(359)","Suisun

(329, 420)","Sacramento/
North Delta 

(314, 323, 350)","Lower San Joaquin

(34, 41, 46, 469)","Lower Sacramento

(465, 353)","South Delta

(29, 86, 99, 225)","East

(249, 261)",Delta-wide Total (#),Delta-wide Total (%)
LFS Larva Abundance Estimate,"117,633,687","145,677,478","304,865","4,078,739","3,695,676",0,0,"271,390,445",-
PTM Entrained (%),0.0,0.0,0.6,5.0,0.3,0.0,0.0,-,-
PTM Entrained (%),0.0,0.0,0.6,5.0,0.3,0.0,0.0,-,-
PTM Entrained (%),0.0,0.0,0.2,2.1,0.2,0.0,0.0,-,-
PTM Entrained (%),0.0,0.0,0.0,<0.1,0.0,0.0,0.0,-,-
Smelt Larva Entrained (#),0,0,"1,829","202,546","11,429",0,0,"215,804",<0.1%
Smelt Larva Entrained (#),0,0,"1,829","202,546","11,429",0,0,"215,804",<0.1%
Smelt Larva Entrained (#),0,0,610,"85,711","8,199",0,0,"94,519",<0.1%
Smelt Larva Entrained (#),0,0,0,"2,601",0,0,0,"2,601",<0.1%
