Neutral Particles for 469 (Jersey Point),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",0.8,16.1,99.7,0.5,0.0,0.0
"-5,000",0.8,16.1,99.7,0.5,0.0,0.0
"-3,500",0.7,17.6,99.6,0.3,0.0,0.0
"-2,000",1.3,17.8,98.8,0.0,0.0,0.0
"-6,500",8.8,26.0,94.3,2.2,0.9,0.1
"-5,000",8.8,26.0,94.3,2.2,0.9,0.1
"-3,500",12.0,27.9,90.0,1.5,0.4,0.1
"-2,000",21.8,26.5,79.0,0.8,0.0,0.0
"-6,500",14.9,30.4,92.8,4.1,3.2,0.4
"-5,000",14.9,30.4,92.8,4.1,3.2,0.4
"-3,500",22.7,33.0,81.3,2.1,1.6,0.3
"-2,000",38.2,29.3,63.0,1.1,0.0,0.1
