Surface Oriented Particles for 99 (Old River),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",0.0,0.6,31.7,40.0,28.1,0.2
"-5,000",0.0,0.6,31.7,40.0,28.1,0.2
"-3,500",0.2,0.8,35.9,51.9,11.8,0.2
"-2,000",0.0,0.8,55.6,44.4,0.0,0.0
"-6,500",1.5,2.7,22.3,24.5,47.7,4.0
"-5,000",1.5,2.7,22.3,24.5,47.7,4.0
"-3,500",1.8,3.0,26.9,32.7,33.1,5.5
"-2,000",3.0,3.9,43.7,45.9,6.5,0.9
"-6,500",3.0,3.8,17.7,18.0,54.1,7.2
"-5,000",3.0,3.8,17.7,18.0,54.1,7.2
"-3,500",3.3,5.3,22.6,24.8,38.5,10.9
"-2,000",8.2,6.5,36.1,40.5,12.5,2.7
