Neutral Particles for 465 (Chipps),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",57.9,0.0,42.1,0.0,0.0,0.0
"-5,000",57.9,0.0,42.1,0.0,0.0,0.0
"-3,500",58.6,0.0,41.4,0.0,0.0,0.0
"-2,000",65.3,0.0,34.7,0.0,0.0,0.0
"-6,500",66.7,0.4,33.3,0.0,0.0,0.0
"-5,000",66.7,0.4,33.3,0.0,0.0,0.0
"-3,500",70.3,-0.2,29.7,0.0,0.0,0.0
"-2,000",78.0,0.0,22.0,0.0,0.0,0.0
"-6,500",66.5,0.9,33.8,0.3,0.0,0.0
"-5,000",66.5,0.9,33.8,0.3,0.0,0.0
"-3,500",73.3,-0.2,27.0,0.3,0.0,0.0
"-2,000",81.9,-0.2,18.2,0.1,0.0,0.0
