Surface Oriented Particles for 350 (Cache Slough),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",1.5,52.5,98.7,0.2,0.0,0.0
"-5,000",1.5,52.5,98.7,0.2,0.0,0.0
"-3,500",1.8,53.5,98.4,0.1,0.0,0.0
"-2,000",2.7,56.0,97.3,0.0,0.0,0.0
"-6,500",28.7,62.8,74.3,2.2,0.7,0.1
"-5,000",28.7,62.8,74.3,2.2,0.7,0.1
"-3,500",31.4,62.4,70.7,1.8,0.2,0.1
"-2,000",41.1,65.5,59.8,0.9,0.0,0.0
"-6,500",37.6,67.5,67.7,1.5,3.3,0.6
"-5,000",37.6,67.5,67.7,1.5,3.3,0.6
"-3,500",45.3,66.8,58.2,1.9,1.5,0.1
"-2,000",55.4,68.0,45.9,1.1,0.1,0.1
