Release Event,Release Date,Release Site,Release methods,Release tag,approx. # fish
1a,11/4/2025,Belden’s Landing (Suisun Marsh),"Fish Truck (large-scale, hard release)",None ,"30,000+"
1b,11/5/2025,Belden’s Landing (Suisun Marsh),"Fish Truck (large-scale, hard release)",None,"30,000+"
2a,12/2/2025,Belden’s Landing (Suisun Marsh),"Fish Truck (large-scale, hard release)",None,"30,000+"
2b,12/3/2025,Belden’s Landing (Suisun Marsh),"Fish Trailers (large-scale, hard release)",None,"30,000+"
3a,12/16/2025,Sandy Beach (Rio Vista),"Fish Truck (large-scale, hard release)",None,"20,000+"
3b,12/17/2025,Sandy Beach (Rio Vista),"Fish Truck (large-scale, hard release)",None,"20,000+"
4a*,1/13/2026,Lookout Slough (Cache Slough),"Fish Truck (large-scale, hard release)",None,"20,000+"
4b*,1/14/2026,Lookout Slough (Cache Slough),"Fish Truck (large-scale, hard release",None,"20,000+"
Total,,,,,"160,000+**"
