date_triggered,date_implemented,days_implemented,action,regulation,plot_label,description,implementation_end,type
10/28/2025,10/30/2025,Ongoing,DCC Gate Closure,DCC gates,1,Delta entry winter-run catch indices exceeded,,trigger
12/24/2025,12/25/2025,14 days,First Flush,Entrainment Management,2,First Flush conditions exceeded,1/7/2026,trigger
2/12/2026,,3 consecutive days,Offramp temperature threshold,"Delta Smelt Adult Entrainment, no action taken WY26",3,Temperature threshold reached,,threshold
5/22/2026,5/22/2026,4 days,DCC Gate Open,DCC gates,4,Variable gate operation due to 14-day closure requirements (May 21-June 15),5/26/2026,trigger
5/30/2026,5/30/2026,2 days,DCC Gate Open,DCC gates,5,Variable gate operation due to 14-day closure requirements (May 21-June 15),6/1/2026,trigger
6/6/2026,6/6/2026,2 days,DCC Gate Open,DCC gates,6,Variable gate operation due to 14-day closure requirements (May 21-June 15),6/8/2026,trigger
6/11/2026,,7 total days,Prisoner's Point OMR temperature threshold,Salmonid temperature threshold- PRI,7,Temperature threshold reached,,threshold
6/13/2026,6/13/2026,Ongoing,DCC Gate Open,DCC gates,8,Open for summer,,trigger
6/15/2026,6/16/2026,3 consecutive days,Offramp temperature threshold,Entrainment Management for smelts,9,End of Entrainment Management Season for smelts,,threshold
