hatchery,year,survival,l-95%,u-95%
CNFH,2018,,,
CNFH,2019,23,19.3,27.2
CNFH,2020,60.4,56.4,64.2
CNFH,2026,11.5,7.8,16.7
CNFH,2021,14.3,11.7,17.3
FRFH,2025,40.6,36.6,44.6
FRFH,2024,30.8,26.9,34.9
FRFH,2023,40.6,34.7,46.8
FRFH,2021,28.6,25.1,32.4
FRFH,2020,26.8,23.1,30.8
FRFH,2019,49.4,45.4,53.5
