GMT,SAMC1,SACC1,VONC1,FMWC1,DRMC1,RCVC1,SACC1,FMWC1L,SACC1L,SAMC1L,NCOC1L,SACC1,SAMC1,NCOC1
,QINE,QINE,QINE,QINE,QINE,QINE,SQIN,SQIN,SQIN,SQIN,SQIN,SSTG,SSTG,SSTG
2026-02-18 18:00:00,3.82475,45.98307,40.73208,39.74557,0.66846,0.31551,44.47639,2.76306,1.92377,0.01348,0.22615,16.53,17.37,28.04
2026-02-18 19:00:00,3.89999,46.26001,41.08362,39.93383,0.65564,0.30803,44.71743,2.77308,1.84885,0.01187,0.22576,16.61,17.41,28.07
2026-02-18 20:00:00,3.95727,46.5026,41.17164,40.12258,0.64687,0.29786,44.97784,2.77989,1.77833,0.01277,0.22372,16.68,17.44,28.11
2026-02-18 21:00:00,4.05438,46.67604,41.43605,40.28024,0.64687,0.28803,45.19445,2.78359,1.71124,0.01518,0.2202,16.73,17.49,28.14
2026-02-18 22:00:00,4.11366,46.8496,41.6126,40.50153,0.62967,0.27889,45.43698,2.78425,1.6468,0.01848,0.21532,16.78,17.52,28.16001
2026-02-18 23:00:00,4.15359,46.98853,41.75989,40.56488,0.62124,0.27178,45.63548,2.78197,1.58444,0.02233,0.20922,16.82,17.54,28.17
2026-02-19 00:00:00,4.21414,47.16232,41.93685,40.75524,0.60864,0.2645,45.84488,2.77683,1.52369,0.0265,0.20198,16.87,17.57,28.17
2026-02-19 01:00:00,4.29609,47.30144,42.08449,40.78702,0.60864,0.25553,46.02712,2.76914,1.46856,0.03395,0.19494,16.91,17.61,28.18001
2026-02-19 02:00:00,4.35846,47.47545,42.23228,40.88242,0.60864,0.24832,46.13356,2.75923,1.42216,0.04645,0.18813,16.96,17.64,28.17
2026-02-19 03:00:00,4.43718,47.6496,42.26185,40.97794,0.60448,0.24287,46.313,2.74715,1.38257,0.06198,0.18128,17.01,17.68,28.15001
2026-02-19 04:00:00,4.51134,47.85871,42.38021,41.07359,0.59622,0.23577,46.43579,2.73297,1.34826,0.07933,0.17442,17.07,17.72,28.15001
2026-02-19 05:00:00,4.54883,48.03313,42.40981,41.13742,0.59214,0.23238,46.5582,2.71674,1.31806,0.09776,0.16752,17.12,17.74,28.13001
2026-02-19 06:00:00,4.6246,48.13784,42.58759,41.2013,0.59214,0.2275,46.68804,2.69853,1.29105,0.11686,0.16061,17.15,17.78,28.09
2026-02-19 07:00:00,4.68214,48.20766,42.58759,41.16935,0.58004,0.2227,46.80678,2.67877,1.26913,0.13146,0.15385,17.17,17.81,28.08
2026-02-19 08:00:00,4.68214,48.27753,42.58759,41.23326,0.58004,0.21802,46.88278,2.65791,1.25373,0.13848,0.14742,17.19,17.81,28.06
2026-02-19 09:00:00,4.70146,48.24259,42.61724,41.23326,0.58808,0.21451,46.93748,2.63599,1.24342,0.14095,0.14128,17.18,17.82,28.04
2026-02-19 10:00:00,4.72085,48.20766,42.64689,41.29723,0.58004,0.20766,47.00625,2.61303,1.23707,0.1407,0.13542,17.17,17.83,28
2026-02-19 11:00:00,4.70146,48.24259,42.55794,41.26524,0.60033,0.20266,47.0934,2.58905,1.23379,0.13881,0.12982,17.18,17.82,27.98
2026-02-19 12:00:00,4.68214,48.20766,42.58759,41.2013,0.60448,0.19793,47.18571,2.56409,1.2329,0.13593,0.12445,17.17,17.81,27.95
2026-02-19 13:00:00,4.68214,48.13784,42.52831,41.2013,0.62124,0.19488,47.22153,2.5384,1.26873,0.15676,0.11932,17.15,17.81,27.91
2026-02-19 14:00:00,4.70146,48.24259,42.49867,41.13742,0.63821,0.1904,47.33336,2.51223,1.36799,0.2161,0.11446,17.18,17.82,27.88
2026-02-19 15:00:00,4.77943,48.31245,42.46905,41.2013,0.66846,0.18602,47.51,2.4856,1.51659,0.29854,0.10985,17.2,17.86,27.85
2026-02-19 16:00:00,4.91855,48.48719,42.46905,41.23326,0.74345,0.18446,47.67463,2.4585,1.70355,0.39484,0.10546,17.25,17.93,27.82001
2026-02-19 17:00:00,5.04057,48.55711,42.49867,41.23326,0.90088,0.18292,47.85771,2.43097,1.92035,0.49946,0.10128,17.27,17.99,27.79
2026-02-19 18:00:00,5.15758,48.67691,42.46905,41.26384,1.05975,0.139,48.08811,2.403,2.16037,0.60907,0.09728,17.30425,18.04637,27.75559
2026-02-19 19:00:00,5.20732,48.73201,42.49867,41.29723,1.1025,0.17687,48.25552,2.37562,2.37121,0.67301,0.0945,17.32,18.07,27.74
2026-02-19 20:00:00,5.20732,48.80201,42.29143,41.23326,1.04412,0.17392,48.36849,2.34982,2.51215,0.66089,0.09388,17.34,18.07,27.71
2026-02-19 21:00:00,5.18622,48.80201,42.40981,41.10549,1.00743,0.17392,48.43952,2.32555,2.59872,0.60312,0.09524,17.34,18.06,27.69
2026-02-19 22:00:00,5.10256,48.80201,42.35062,41.07359,0.9817,0.17539,48.49626,2.30278,2.64299,0.51796,0.09843,17.34,18.02,27.67
2026-02-19 23:00:00,5.04057,48.76701,42.38021,40.97794,0.95613,0.17836,48.51073,2.28145,2.65438,0.41638,0.1033,17.33,17.99,27.65
2026-02-20 00:00:00,4.99961,48.73201,42.35062,41.00981,0.93598,0.24107,48.49345,2.26154,2.64018,0.30494,0.10971,17.32,17.97,27.64
2026-02-20 01:00:00,4.95894,48.80201,42.32101,40.88242,0.90582,0.67894,48.38957,2.24641,2.60754,0.21086,0.11904,17.34,17.95,27.63
2026-02-20 02:00:00,4.95894,48.80201,42.35062,40.91424,0.89598,1.07196,48.28416,2.23932,2.562,0.15048,0.13255,17.34,17.95,27.63
2026-02-20 03:00:00,4.95894,48.87203,42.26185,40.88242,0.87117,1.24719,48.26647,2.24007,2.50643,0.11032,0.1499,17.36,17.95,27.63
2026-02-20 04:00:00,4.97924,48.90704,42.26185,40.88242,0.85651,1.23957,48.18423,2.24843,2.44307,0.0823,0.17079,17.37,17.96,27.65
2026-02-20 05:00:00,4.99961,48.94206,42.26185,40.8506,0.83727,1.15779,48.11808,2.26421,2.37364,0.06155,0.19494,17.38,17.97,27.66
2026-02-20 06:00:00,4.97924,48.97709,42.35062,40.8506,0.82297,1.06502,48.01594,2.28718,2.29948,0.04517,0.22508,17.39,17.96,27.7
2026-02-20 07:00:00,4.97924,48.94206,42.40981,40.8506,0.80891,0.97531,47.93941,2.31214,2.22629,0.03309,0.25334,17.38,17.96,27.72
2026-02-20 08:00:00,4.95894,48.94206,42.40981,40.8506,0.79026,0.89839,47.85033,2.33401,2.15847,0.02527,0.27377,17.38,17.95,27.77
2026-02-20 09:00:00,4.93871,48.87203,42.43943,40.8506,0.76655,0.82534,47.73963,2.35287,2.09483,0.02002,0.28707,17.36,17.94,27.81001
2026-02-20 10:00:00,4.93871,48.83702,42.61724,40.91424,0.75725,0.775,47.67924,2.36881,2.03444,0.0163,0.2939,17.35,17.94,27.85
2026-02-20 11:00:00,4.91855,48.80201,42.61724,40.97794,0.74345,0.73066,47.65829,2.38191,1.97658,0.0135,0.29485,17.34,17.93,27.88
2026-02-20 12:00:00,4.89846,48.76701,42.76558,40.97794,0.73429,0.68739,47.67422,2.39224,1.92069,0.01126,0.29044,17.33,17.92,27.92
2026-02-20 13:00:00,4.87845,48.69702,42.76558,41.00981,0.72075,0.64813,47.65026,2.40003,1.86547,0.00954,0.28304,17.31,17.91,27.95
2026-02-20 14:00:00,4.8585,48.73201,42.85465,41.00981,0.70308,0.61007,47.60714,2.40551,1.80993,0.00832,0.27481,17.32,17.9,27.98
2026-02-20 15:00:00,4.87845,48.73201,42.91406,41.07359,0.6899,0.57777,47.64191,2.40874,1.75414,0.00742,0.26581,17.32,17.91,28
2026-02-20 16:00:00,4.87845,48.80201,42.91406,41.10549,0.68124,0.54913,47.67897,2.40978,1.69816,0.00669,0.25611,17.34,17.91,28.03
2026-02-20 17:00:00,4.91855,48.80201,42.97351,41.23326,0.67269,0.52344,47.68603,2.40869,1.64202,0.00607,0.24578,17.34,17.93,28.04
2026-02-20 18:00:00,4.91855,48.83702,43.00323,41.26524,0.66425,0.49874,47.70657,2.40554,1.58577,0.00552,0.23489,17.35,17.93,28.05
2026-02-20 19:00:00,4.91855,48.83702,43.00323,41.36125,0.65564,0.4796,47.69052,2.4003,1.53147,0.00507,0.22402,17.35,17.93,28.06
2026-02-20 20:00:00,4.91855,48.83702,43.12221,41.32923,0.64687,0.4604,47.71117,2.39299,1.48074,0.00474,0.21374,17.35,17.93,28.06
2026-02-20 21:00:00,4.91855,48.76701,43.15197,41.48945,0.63821,0.44411,47.69358,2.38366,1.43278,0.00447,0.20399,17.33,17.93,28.06
