GMT,SAMC1,SACC1,VONC1,FMWC1,DRMC1,RCVC1,SACC1,FMWC1L,SACC1L,SAMC1L,NCOC1L,SACC1,SAMC1,NCOC1
,QINE,QINE,QINE,QINE,QINE,QINE,SQIN,SQIN,SQIN,SQIN,SQIN,SSTG,SSTG,SSTG
2026-01-11 12:00:00,22.23184,70.38479,59.61747,76.03025,1.07561,0.17246,69.02064,1.04793,0.1682,0.00091,0.01361,23.31,24.3,32.32
2026-01-11 13:00:00,22.11758,70.34761,59.46798,75.14202,1.0703,0.17102,68.74246,1.03018,0.16698,0.0009,0.0134,23.3,24.27,32.3
2026-01-11 14:00:00,22.00376,70.19899,59.49787,75.43702,1.06501,0.16946,68.65686,1.01276,0.16579,0.0009,0.01321,23.26,24.24,32.28
2026-01-11 15:00:00,21.89038,70.16184,59.40821,74.8481,1.0493,0.16791,68.54829,0.99569,0.16463,0.0009,0.01301,23.25,24.21,32.26
2026-01-11 16:00:00,21.81505,69.97616,59.34845,73.97264,1.04412,0.16791,68.47638,0.97894,0.16348,0.00089,0.01282,23.2,24.19,32.24
2026-01-11 17:00:00,21.73991,69.8648,59.22901,73.68292,1.05451,0.16638,68.37929,0.96251,0.16235,0.00089,0.01264,23.17,24.17,32.21
2026-01-11 18:00:00,21.67025,69.79058,59.19915,73.39425,1.0388,0.16486,68.19519,0.94639,0.16124,0.00089,0.01246,23.15,24.15,32.19
2026-01-11 19:00:00,21.60601,69.79058,59.02016,73.10663,1.02823,0.16335,68.19648,0.93058,0.16014,0.00088,0.01229,23.15,24.13,32.16
2026-01-11 20:00:00,21.54191,69.67926,58.99033,72.25001,1.02299,0.16186,68.08214,0.91508,0.15908,0.00088,0.01212,23.12,24.11,32.14
2026-01-11 21:00:00,21.50991,69.60507,58.93071,71.40265,1.02299,0.16038,67.99932,0.89989,0.15803,0.00088,0.01196,23.1,24.1,32.11
2026-01-11 22:00:00,21.47795,69.56799,58.8413,71.40265,1.0126,0.15891,67.85926,0.885,0.15701,0.00088,0.01181,23.09,24.09,32.09
2026-01-11 23:00:00,21.41413,69.45674,58.8413,70.84287,1.00743,0.15891,67.81053,0.87039,0.15599,0.00088,0.01165,23.06,24.07,32.07
2026-01-12 00:00:00,21.38227,69.3826,58.69238,70.28713,1.00743,0.15746,67.61587,0.85606,0.15499,0.00087,0.0115,23.04,24.06,32.04
2026-01-12 01:00:00,21.28689,69.27141,58.63002,69.46107,1.0023,0.15602,67.56823,0.84202,0.154,0.00087,0.01136,23.01,24.03,32.02
2026-01-12 02:00:00,21.22348,69.19731,58.59743,69.46107,0.99719,0.15456,67.49692,0.82825,0.15304,0.00087,0.01122,22.99,24.01,31.99
2026-01-12 03:00:00,21.12861,69.12322,58.46714,69.00482,0.99719,0.15311,67.39615,0.81476,0.1521,0.00087,0.01108,22.97,23.98,31.97
2026-01-12 04:00:00,21.06553,68.93805,58.46714,68.64037,0.9817,0.15168,67.36133,0.80154,0.15118,0.00086,0.01095,22.92,23.96,31.94
2026-01-12 05:00:00,20.90845,68.90103,58.23932,68.45878,0.96628,0.15026,67.13884,0.78858,0.15026,0.00086,0.01082,22.91,23.91,31.92
2026-01-12 06:00:00,20.72105,68.71597,58.2068,67.91655,0.9511,0.14886,66.98651,0.77587,0.14936,0.00086,0.0107,22.86,23.85,31.9
2026-01-12 07:00:00,20.47308,68.71597,58.17427,67.55718,0.96119,0.14886,66.85917,0.76341,0.14847,0.00085,0.01057,22.86,23.77,31.87
2026-01-12 08:00:00,20.19668,68.53102,58.07675,67.02128,0.9411,0.14746,66.64038,0.75121,0.1476,0.00085,0.01046,22.81,23.68,31.84
2026-01-12 09:00:00,20.04429,68.34616,58.01176,66.84348,0.9511,0.14608,66.54486,0.73925,0.14674,0.00085,0.01034,22.76,23.63,31.82
2026-01-12 10:00:00,19.89274,68.16139,57.91432,66.84348,0.94609,0.14472,66.26883,0.72753,0.1459,0.00085,0.01022,22.71,23.58,31.79
2026-01-12 11:00:00,19.74201,67.93979,57.75204,66.13648,0.95613,0.14336,66.16133,0.71604,0.14507,0.00084,0.01012,22.65,23.53,31.77
2026-01-12 12:00:00,19.65197,67.82904,57.75204,66.13648,0.93088,0.14336,66.07273,0.70478,0.14424,0.00084,0.01001,22.62,23.5,31.74
2026-01-12 13:00:00,19.56223,67.60764,57.68715,65.43611,0.93598,0.14202,65.93557,0.69375,0.14343,0.00084,0.0099,22.56,23.47,31.72
2026-01-12 14:00:00,19.44303,67.53388,57.52505,64.7423,0.93598,0.14066,65.82966,0.68294,0.14263,0.00084,0.00981,22.54,23.43,31.68
2026-01-12 15:00:00,19.35397,67.34951,57.36308,64.22624,0.9411,0.13932,65.70343,0.67235,0.14185,0.00084,0.00971,22.49,23.4,31.65
2026-01-12 16:00:00,19.26521,67.27581,57.29832,64.05503,0.91576,0.13932,65.52475,0.66198,0.14108,0.00083,0.00962,22.47,23.37,31.61
2026-01-12 17:00:00,19.17674,67.16525,57.2336,63.20502,0.90088,0.13799,65.48509,0.65181,0.14032,0.00083,0.00952,22.44,23.34,31.58
2026-01-12 18:00:00,19.11793,67.12841,57.00722,62.86783,0.90088,0.13667,65.40424,0.64185,0.13956,0.00083,0.00943,22.43,23.32,31.55
2026-01-12 19:00:00,19.02995,67.01792,56.9426,62.53224,0.8911,0.13667,65.23957,0.63209,0.13882,0.00082,0.00934,22.4,23.29,31.52
2026-01-12 20:00:00,19.00068,66.90744,56.68429,61.86579,0.8911,0.13537,65.07122,0.62253,0.13809,0.00082,0.00926,22.37,23.28,31.49
2026-01-12 21:00:00,18.94226,66.75864,56.65203,61.20565,0.87611,0.13406,64.98722,0.61316,0.13737,0.00082,0.00918,22.33,23.26,31.45
2026-01-12 22:00:00,18.85487,66.75864,56.58752,60.71463,0.90582,0.13406,64.91281,0.60399,0.13666,0.00082,0.00909,22.33,23.23,31.41
2026-01-12 23:00:00,18.79676,66.6099,56.61976,60.4687,0.8911,0.13278,64.70458,0.595,0.13596,0.00082,0.00901,22.29,23.21,31.38
2026-01-13 00:00:00,18.73879,66.46122,56.3941,60.13738,0.89598,0.13151,64.6196,0.58619,0.13526,0.00081,0.00894,22.25,23.19,31.35
2026-01-13 01:00:00,18.65208,66.38691,56.29748,59.80748,0.88108,0.13026,64.38899,0.57756,0.13457,0.00081,0.00886,22.23,23.16,31.31
2026-01-13 02:00:00,18.56146,66.31262,56.13655,59.47898,0.87611,0.12901,64.32884,0.56912,0.1339,0.00081,0.00878,22.21,23.13,31.27
2026-01-13 03:00:00,18.47117,66.08983,55.97575,58.98886,0.90088,0.12776,64.26471,0.56084,0.13323,0.00081,0.00871,22.15,23.1,31.23
2026-01-13 04:00:00,18.41115,65.97849,55.81508,58.8262,0.94609,0.12652,64.25859,0.55273,0.13257,0.0008,0.00865,22.12,23.08,31.19001
2026-01-13 05:00:00,18.29155,65.86718,55.78296,58.58283,0.90088,0.12529,64.01232,0.54479,0.13192,0.0008,0.00858,22.09,23.04,31.15
2026-01-13 06:00:00,18.08362,65.71883,55.62247,58.09846,0.92582,0.12407,63.83437,0.53701,0.13127,0.0008,0.00851,22.05,22.97,31.11
2026-01-13 07:00:00,17.87743,65.57055,55.43005,58.01805,0.92582,0.12407,63.60718,0.52939,0.13062,0.00079,0.00845,22.01,22.9,31.07
2026-01-13 08:00:00,17.61488,65.34825,55.33391,57.6172,0.91078,0.12167,63.3643,0.52193,0.12999,0.00079,0.00838,21.95,22.81,31.02
2026-01-13 09:00:00,17.41263,65.20013,55.07779,57.13904,0.8911,0.12167,63.13383,0.51462,0.12937,0.00079,0.00832,21.91,22.74,30.97
2026-01-13 10:00:00,17.26921,64.97808,54.98184,56.74293,0.90088,0.12049,63.01774,0.50746,0.12875,0.00079,0.00826,21.85,22.69,30.93
2026-01-13 11:00:00,17.12667,64.75618,54.94986,56.58509,0.89598,0.11932,62.82312,0.50045,0.12814,0.00079,0.00821,21.79001,22.64,30.89
2026-01-13 12:00:00,16.98498,64.53443,54.69427,56.36982,0.88608,0.11932,62.59521,0.49357,0.12754,0.00078,0.00815,21.73,22.59,30.84001
2026-01-13 13:00:00,16.87226,64.38666,54.59853,56.18817,0.87117,0.11816,62.44665,0.48684,0.12694,0.00078,0.0081,21.69,22.55,30.8
2026-01-13 14:00:00,16.76009,64.16516,54.2797,55.91637,0.87611,0.11701,62.19024,0.48025,0.12635,0.00078,0.00804,21.63,22.51,30.75
2026-01-13 15:00:00,16.62064,63.98068,54.216,55.73561,0.88608,0.11701,62.04287,0.4738,0.12576,0.00078,0.00798,21.58,22.46,30.7
2026-01-13 16:00:00,16.5097,63.83318,54.02503,55.51017,0.8911,0.11575,61.97332,0.46748,0.12518,0.00078,0.00794,21.54,22.42,30.65
2026-01-13 17:00:00,16.42685,63.64889,53.89784,55.33023,0.88108,0.11575,61.74195,0.46128,0.12461,0.00078,0.00788,21.49,22.39,30.6
2026-01-13 18:00:00,16.31685,63.50153,53.86605,55.06098,0.8911,0.11451,61.60474,0.45522,0.12403,0.00077,0.00783,21.45,22.35,30.55
2026-01-13 19:00:00,16.23472,63.35425,53.64371,54.92665,0.88108,0.11451,61.32299,0.44927,0.12347,0.00077,0.00778,21.41,22.32,30.50001
2026-01-13 20:00:00,16.15288,63.20703,53.45335,54.61402,0.86626,0.11327,61.20332,0.44345,0.12291,0.00077,0.00774,21.37,22.29,30.46
2026-01-13 21:00:00,16.07135,63.13423,53.29487,54.39137,0.86626,0.11206,61.03094,0.43775,0.12236,0.00077,0.0077,21.35,22.26,30.4
2026-01-13 22:00:00,15.99012,62.98866,53.10487,54.12597,0.84687,0.11206,60.88723,0.43217,0.12181,0.00077,0.00765,21.31,22.23,30.36
2026-01-13 23:00:00,15.90919,62.8068,52.78866,53.99409,0.85167,0.11085,60.8287,0.4267,0.12127,0.00077,0.0076,21.26,22.2,30.3
2026-01-14 00:00:00,15.80176,62.66137,52.85186,53.68712,0.85651,0.11085,60.64453,0.42135,0.12073,0.00076,0.00756,21.22,22.16,30.26
2026-01-14 01:00:00,15.7416,62.516,52.6939,53.59961,0.86137,0.10966,60.451,0.4161,0.12019,0.00076,0.00752,21.18,22.14,30.21
2026-01-14 02:00:00,15.62181,62.40703,52.44147,53.25045,0.84209,0.10848,60.28804,0.41096,0.11966,0.00076,0.00747,21.15,22.1,30.15
2026-01-14 03:00:00,15.50272,62.15288,52.31539,53.16338,0.85651,0.10848,60.10872,0.40593,0.11914,0.00076,0.00743,21.08,22.06,30.1
2026-01-14 04:00:00,15.38432,62.00775,52.09497,52.90269,0.85651,0.10731,59.81474,0.401,0.11863,0.00075,0.00739,21.04,22.02,30.04
2026-01-14 05:00:00,15.2373,61.86267,51.96915,52.64278,0.84687,0.10615,59.74112,0.39617,0.11811,0.00075,0.00735,21,21.97,29.99
2026-01-14 06:00:00,15.00429,61.64517,51.8434,52.5131,0.84687,0.10615,59.57625,0.39144,0.1176,0.00075,0.00732,20.94,21.89,29.94
2026-01-14 07:00:00,14.77402,61.42783,51.59218,52.34051,0.84209,0.10501,59.28753,0.3868,0.11708,0.00074,0.00728,20.88,21.81,29.88
2026-01-14 08:00:00,14.54645,61.13825,51.34132,52.03932,0.84687,0.10374,59.06164,0.38227,0.11656,0.00074,0.00724,20.8,21.73,29.84
2026-01-14 09:00:00,14.29364,60.92124,51.27866,51.91056,0.83247,0.10374,58.80665,0.37782,0.11603,0.00074,0.00721,20.74,21.64,29.79
2026-01-14 10:00:00,14.12697,60.66825,51.12212,51.69641,0.82771,0.10249,58.60609,0.37347,0.11549,0.00074,0.00718,20.67,21.58,29.73
2026-01-14 11:00:00,13.93441,60.45155,50.96573,51.48277,0.81826,0.10249,58.43544,0.3692,0.11495,0.00073,0.00714,20.61,21.51,29.68
2026-01-14 12:00:00,13.7981,60.235,50.747,51.26969,0.82297,0.10249,58.18332,0.36502,0.1144,0.00073,0.0071,20.55,21.46,29.63
2026-01-14 13:00:00,13.6628,59.94649,50.65335,51.1421,0.83727,0.10126,57.90667,0.36093,0.11386,0.00073,0.00707,20.47,21.41,29.58
2026-01-14 14:00:00,13.52852,59.7663,50.43503,50.8028,0.82297,0.10004,57.7648,0.35692,0.11334,0.00073,0.00704,20.42,21.36,29.52
2026-01-14 15:00:00,13.39525,59.55021,50.24812,50.67592,0.82297,0.10004,57.61098,0.35299,0.11282,0.00073,0.00701,20.36,21.31,29.47
2026-01-14 16:00:00,13.28936,59.37025,50.12362,50.54923,0.81826,0.09883,57.43649,0.34914,0.11232,0.00073,0.00698,20.31,21.27,29.42
2026-01-14 17:00:00,13.18411,59.15443,49.93706,50.29643,0.80428,0.09883,57.22286,0.34537,0.11182,0.00072,0.00694,20.25,21.23,29.38
2026-01-14 18:00:00,13.05344,58.9747,49.7507,50.12833,0.81357,0.09764,57.07945,0.34168,0.11133,0.00072,0.00692,20.2,21.18,29.33
2026-01-14 19:00:00,12.94,58.75915,49.62656,49.87812,0.79967,0.09764,56.88928,0.33806,0.11084,0.00072,0.00689,20.14,21.14,29.31
2026-01-14 20:00:00,12.81778,58.65143,49.47153,49.63125,0.79967,0.09764,56.687,0.33451,0.11037,0.00072,0.00686,20.11,21.1,29.26
2026-01-14 21:00:00,12.72673,58.50786,49.28569,49.46709,0.79026,0.09646,56.53666,0.33104,0.10991,0.00072,0.00683,20.07,21.07,29.21
2026-01-14 22:00:00,12.60614,58.3285,49.10005,49.26235,0.78546,0.09646,56.3653,0.32763,0.10945,0.00072,0.0068,20.02,21.03,29.16001
2026-01-14 23:00:00,12.51629,58.14924,48.97641,49.01733,0.77595,0.0953,56.17685,0.3243,0.109,0.00071,0.00678,19.97,21,29.1
