GMT,SAMC1,SACC1,VONC1,FMWC1,DRMC1,RCVC1,SACC1,FMWC1L,SACC1L,SAMC1L,NCOC1L,SACC1,SAMC1,NCOC1
,QINE,QINE,QINE,QINE,QINE,QINE,SQIN,SQIN,SQIN,SQIN,SQIN,SSTG,SSTG,SSTG
2026-01-14 12:00:00,13.7981,60.235,50.747,51.26969,0.82297,0.10249,58.18332,0.36502,0.1144,0.00073,0.0071,20.55,21.46,29.63
2026-01-14 13:00:00,13.6628,59.94649,50.65335,51.1421,0.83727,0.10126,57.90667,0.36093,0.11386,0.00073,0.00707,20.47,21.41,29.58
2026-01-14 14:00:00,13.52852,59.7663,50.43503,50.8028,0.82297,0.10004,57.7648,0.35692,0.11334,0.00073,0.00704,20.42,21.36,29.52
2026-01-14 15:00:00,13.39525,59.55021,50.24812,50.67592,0.82297,0.10004,57.61098,0.35299,0.11282,0.00073,0.00701,20.36,21.31,29.47
2026-01-14 16:00:00,13.28936,59.37025,50.12362,50.54923,0.81826,0.09883,57.43649,0.34914,0.11232,0.00073,0.00698,20.31,21.27,29.42
2026-01-14 17:00:00,13.18411,59.15443,49.93706,50.29643,0.80428,0.09883,57.22286,0.34537,0.11182,0.00072,0.00694,20.25,21.23,29.38
2026-01-14 18:00:00,13.05344,58.9747,49.7507,50.12833,0.81357,0.09764,57.07945,0.34168,0.11133,0.00072,0.00692,20.2,21.18,29.33
2026-01-14 19:00:00,12.94,58.75915,49.62656,49.87812,0.79967,0.09764,56.88928,0.33806,0.11084,0.00072,0.00689,20.14,21.14,29.31
2026-01-14 20:00:00,12.81778,58.65143,49.47153,49.63125,0.79967,0.09764,56.687,0.33451,0.11037,0.00072,0.00686,20.11,21.1,29.26
2026-01-14 21:00:00,12.72673,58.50786,49.28569,49.46709,0.79026,0.09646,56.53666,0.33104,0.10991,0.00072,0.00683,20.07,21.07,29.21
2026-01-14 22:00:00,12.60614,58.3285,49.10005,49.26235,0.78546,0.09646,56.3653,0.32763,0.10945,0.00072,0.0068,20.02,21.03,29.16
2026-01-14 23:00:00,12.51629,58.14924,48.97641,49.01733,0.77595,0.0953,56.17685,0.3243,0.109,0.00071,0.00678,19.97,21,29.1
