GMT,SAMC1,SACC1,VONC1,FMWC1,DRMC1,FPOC1,RCVC1,SACC1,FMWC1L,SACC1L,SAMC1L,NCOC1L,SACC1,SAMC1,NCOC1
,QINE,QINE,QINE,QINE,QINE,QINE,QINE,SQIN,SQIN,SQIN,SQIN,SQIN,SSTG,SSTG,SSTG
2026-06-06 12:00:00,1.51966,15.26948,12.21549,12.3874,0.15781,13.70153,0.00931,14.10691,0.02534,0.01801,0.00041,0,7.36,15.99,18.42001
2026-06-06 13:00:00,1.51958,15.07663,12.30911,12.3874,0.16401,12.70142,0.00965,14.0616,0.02533,0.018,0.00041,0,7.3,15.98994,18.42001
2026-06-06 14:00:00,1.51966,15.04458,12.27164,12.35077,0.15781,11.10124,0.01,14.02293,0.02532,0.018,0.00041,0,7.29,15.99,18.42001
2026-06-06 15:00:00,1.51966,15.3017,12.40294,12.36907,0.16401,9.76109,0.01,13.98829,0.02531,0.01799,0.00041,0,7.37,15.99,18.41001
2026-06-06 16:00:00,1.51966,15.73759,12.44054,12.3874,0.15781,9.8411,0.01,13.95607,0.0253,0.01798,0.00041,0,7.51,15.99,18.41001
2026-06-06 17:00:00,1.51966,16.11442,12.45934,12.35077,0.15574,11.7013,0.01,13.90988,0.02529,0.01797,0.00041,0,7.63,15.99,18.41001
2026-06-06 18:00:00,1.51966,16.24068,12.47816,12.3874,0.16401,12.75551,0.01,13.86091,0.02528,0.01797,0.00041,0,7.67,15.99,18.41001
2026-06-06 19:00:00,1.51966,16.11442,12.49698,12.35077,0.1599,13.80154,0.01,13.83664,0.02527,0.01796,0.00041,0,7.63,15.99,18.41001
2026-06-06 20:00:00,1.51966,16.01993,12.51581,12.40573,0.15781,14.80165,0.00965,13.84098,0.02526,0.01795,0.00041,0,7.6,15.99,18.4
2026-06-06 21:00:00,1.51966,15.70633,12.51581,12.40573,0.16202,15.90177,0.00965,13.87385,0.02525,0.01795,0.00041,0,7.5,15.99,18.4
2026-06-06 22:00:00,1.51966,15.3017,12.49698,12.3874,0.16401,16.20181,0.00965,13.91465,0.02524,0.01794,0.00041,0,7.37,15.99,18.4
2026-06-06 23:00:00,1.51966,14.789,12.44054,12.42408,0.1599,16.60185,0.00931,13.94663,0.02523,0.01794,0.00041,0,7.21,15.99,18.4
2026-06-07 00:00:00,1.51966,14.28255,12.30911,12.40573,0.1599,16.70186,0.00931,13.9721,0.02522,0.01793,0.00041,0,7.05,15.99,18.4
2026-06-07 01:00:00,1.51966,13.72034,12.25292,12.3874,0.1599,16.50184,0.00931,13.99435,0.02521,0.01793,0.00041,0,6.87,15.99,18.4
2026-06-07 02:00:00,1.50501,13.22738,12.25292,12.3874,0.1599,15.80176,0.00899,14.0127,0.0252,0.01792,0.00041,0,6.71,15.98,18.39001
2026-06-07 03:00:00,1.51966,12.77109,12.12208,12.36907,0.1599,14.30159,0.00899,14.02186,0.02519,0.01791,0.00041,0,6.56,15.99,18.39001
2026-06-07 04:00:00,1.51966,12.56011,11.97306,12.31419,0.16202,11.50128,0.00931,14.01494,0.02518,0.01791,0.00041,0,6.49,15.99,18.39001
2026-06-07 05:00:00,1.51966,12.74087,11.86167,12.31419,0.1599,9.68108,0.00931,13.97985,0.02517,0.0179,0.00041,0,6.55,15.99,18.39001
