GMT,SAMC1,SACC1,VONC1,FMWC1,DRMC1,RCVC1,SACC1,FMWC1L,SACC1L,SAMC1L,NCOC1L,SACC1,SAMC1,NCOC1
,QINE,QINE,QINE,QINE,QINE,QINE,SQIN,SQIN,SQIN,SQIN,SQIN,SSTG,SSTG,SSTG
2026-01-25 18:00:00,3.99586,31.97162,27.24345,26.80475,0.41023,0.03295,32.0744,0.11591,0.04591,0.00043,0.00371,12.42,17.46,21.38
2026-01-25 19:00:00,3.99586,32.13991,27.17232,26.75927,0.39622,0.03229,31.98336,0.11566,0.04579,0.00043,0.0037,12.47,17.46,21.35
2026-01-25 20:00:00,3.99586,32.27469,27.10124,26.69113,0.3928,0.03229,31.92263,0.11541,0.04567,0.00043,0.0037,12.51,17.46,21.31
2026-01-25 21:00:00,3.97653,32.27469,26.98291,26.62308,0.39968,0.03229,31.81316,0.11517,0.04555,0.00043,0.00369,12.51,17.45,21.28
2026-01-25 22:00:00,3.99586,32.20728,26.93562,26.53247,0.39622,0.03164,31.75307,0.11492,0.04542,0.00043,0.00368,12.49,17.46,21.25
2026-01-25 23:00:00,3.97653,32.13991,26.77029,26.48722,0.3928,0.03164,31.6829,0.11468,0.0453,0.00043,0.00367,12.47,17.45,21.22001
2026-01-26 00:00:00,3.97653,31.93799,26.7939,26.39684,0.3928,0.03164,31.59121,0.11443,0.04518,0.00043,0.00366,12.41,17.45,21.2
2026-01-26 01:00:00,3.97653,31.70012,26.72312,26.30661,0.38941,0.031,31.51553,0.11419,0.04506,0.00043,0.00366,12.34,17.45,21.17
2026-01-26 02:00:00,3.97653,31.49353,26.6524,26.28408,0.39622,0.031,31.44035,0.11395,0.04494,0.00043,0.00365,12.28,17.45,21.15
2026-01-26 03:00:00,3.97653,31.25295,26.60528,26.21653,0.3928,0.03034,31.33107,0.11371,0.04482,0.00043,0.00364,12.21,17.45,21.12001
2026-01-26 04:00:00,3.97653,31.01283,26.48759,26.14907,0.40316,0.03034,31.26502,0.11347,0.0447,0.00043,0.00363,12.14,17.45,21.1
2026-01-26 05:00:00,3.97653,30.8074,26.44057,26.08171,0.39622,0.0297,31.12607,0.11323,0.04459,0.00042,0.00363,12.08,17.45,21.07
2026-01-26 06:00:00,3.97653,30.67064,26.37006,25.9696,0.39622,0.0297,31.11677,0.11299,0.04447,0.00042,0.00362,12.04,17.45,21.04999
2026-01-26 07:00:00,3.97653,30.56816,26.32309,25.88009,0.39622,0.02906,31.05773,0.11275,0.04435,0.00042,0.00362,12.01,17.45,21.03001
2026-01-26 08:00:00,3.97653,30.46578,26.20578,25.8354,0.39968,0.02906,30.98718,0.11251,0.04423,0.00042,0.00361,11.98,17.45,21.01
2026-01-26 09:00:00,3.97653,30.46578,26.15889,25.76842,0.3928,0.02906,30.93034,0.11227,0.04411,0.00042,0.0036,11.98,17.45,20.98
2026-01-26 10:00:00,3.97653,30.36349,26.08862,25.72383,0.39622,0.02844,30.82525,0.11204,0.044,0.00042,0.00359,11.95,17.45,20.96
2026-01-26 11:00:00,3.95727,30.29533,25.92486,25.61248,0.39622,0.02844,30.76528,0.1118,0.04388,0.00042,0.00358,11.93,17.44,20.93
2026-01-26 12:00:00,3.95727,30.15915,25.87812,25.47919,0.3928,0.02844,30.69822,0.11157,0.04377,0.00042,0.00358,11.89,17.44,20.9
