GMT,FRAC1,LTDC1,HIDC1,BHNC1,MPAC1,OWCC1,BNCC1,BCKC1,MEEC1,HPIC1,POHC1,EXQC1,DSNC1,STVC1,NWMC1,LGCC1,WARC1,LGAC1,PNEC1,LBDC1,OREC1,PATC1,HETC1,LNRC1,CHVC1F,DCMC1,NDPC1,MDSC1,NDVC1,NSWC1,AVYC1,NMSC1,OBBC1,RIPC1,PTTC1,VNSC1,KNFC1L,STVC1,MDSC1,OBBC1,RIPC1,NWMC1,CRDC1,PATC1,MZRC1,VNSC1,AVYC1L,NDPC1L
,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,SQIN,SQIN
2026-06-17 12:00:00,2.62738,0,0.016,-0.01825,0,0,0,0.001,0.25936,0.60782,0.70976,0.70825,0.00826,0.14102,0.43085,0.00001,0,0.00001,0,-0.01616,0.00001,0.46905,1.06282,0.06999,0.14891,0.014,0.85731,0.09644,0.01401,0.03245,0.19802,0.79195,1.73419,1.48705,0,1.44381,0,0.14102,0.09644,1.73419,1.48705,0.43085,0.33333,0.46905,0.42869,1.44381,0.03514,0.27691
2026-06-17 13:00:00,2.52964,0,0.02447,-0.01692,0,0,0,0.001,0.25519,0.61676,0.70031,0.99535,0.00826,0.14102,0.43085,0.00001,0,0.00001,0,-0.01569,0.00001,0.46605,1.02338,0.08036,0.14507,0.013,0.93586,0.10181,0.01436,0.0275,0.19802,0.79267,1.73419,1.49001,0,1.44381,0,0.14102,0.10181,1.73419,1.49001,0.43085,0.33779,0.46605,0.42774,1.44381,0.03513,0.26661
2026-06-17 14:00:00,2.49681,0,0.03301,-0.01517,0,0,0,0.001,0.25936,0.62126,0.69093,1.35932,0.00826,0.13802,0.43345,0.00001,0,0.00001,0,-0.01327,0.00001,0.46905,1.0238,0.08025,0.19295,0.013,1.01442,0.10545,0.01399,-0.02379,0.19802,0.79338,1.72819,1.49594,0,1.46287,0,0.13802,0.10545,1.72819,1.49594,0.43345,0.34226,0.46905,0.42713,1.46287,0.03513,0.26218
2026-06-17 15:00:00,2.49695,0,0.01606,-0.01809,0,0,0,0.001,0.27198,0.63031,0.71451,1.65554,0.00826,0.13802,0.43605,0.00001,0,0.00001,0,-0.00447,0.00001,0.46105,1.08466,0.09072,0.20383,0.013,1.09298,0.10912,0.01358,-0.01467,0.19602,0.7941,1.72219,1.49892,0,1.46287,0,0.13802,0.10912,1.72219,1.49892,0.43605,0.34451,0.46105,0.42699,1.46287,0.03512,0.2607
2026-06-17 16:00:00,2.46431,0,0.01606,-0.02134,0.012,0,0,0.001,0.27198,0.63944,0.70976,1.95254,0.00826,0.13201,0.43866,0.00001,0,0.00001,0,-0.00006,0.00001,0.46405,1.10512,0.09069,0.20173,0.013,1.21409,0.11097,0.01393,0.00602,0.19802,0.79479,1.72219,1.50189,0,1.47563,0,0.13201,0.11097,1.72219,1.50189,0.43866,0.34451,0.46405,0.42721,1.47563,0.03509,0.25997
2026-06-17 17:00:00,2.46463,0,0.00764,-0.014,-0.012,0,0,0.001,0.25519,0.63944,0.73367,2.10732,0.008,0.12801,0.44127,0.00001,0,0.00001,0,-0.00397,0.00001,0.46405,1.04566,0.09069,0.18656,0.013,1.33521,0.11097,0.01315,0.01182,0.19602,0.79546,1.72219,1.50189,0,1.48844,0,0.12801,0.11097,1.72219,1.50189,0.44127,0.34002,0.46405,0.42773,1.48844,0.03507,0.25952
2026-06-17 18:00:00,2.49691,0,0.00761,-0.00583,0,0,0,0.001,0.24697,0.63487,0.73935,1.97514,0.008,0.12401,0.43605,0.00001,0,0.00001,0,-0.00444,0.00001,0.46605,1.08613,0.1013,0.17403,0.013,1.45632,0.11097,0.01383,0.0052,0.19602,0.79615,1.71719,1.50487,0,1.49486,0,0.12401,0.11097,1.71719,1.50487,0.43605,0.33779,0.46605,0.42849,1.49486,0.03505,0.25923
2026-06-17 19:00:00,2.52937,0,-0.00928,-0.0005,0,0,0,0.001,0.24087,0.64864,0.74334,1.8422,0.008,0.12301,0.43345,0.00001,0,0.00001,0,0.00244,0.00001,0.46405,1.08709,0.09093,0.16482,0.013,1.57743,0.11097,0.01343,0.01179,0.19502,0.79676,1.72219,1.50785,0,1.51419,0,0.12301,0.11097,1.72219,1.50785,0.43345,0.33556,0.46405,0.42946,1.51419,0.03503,0.25902
2026-06-17 20:00:00,2.52988,0,-0.0262,0.00108,0,0,0,0.001,0.24087,0.63944,0.75797,1.77706,0.008,0.12101,0.43085,0.00001,0,0.00001,0,0,0.00001,0.46605,1.06709,0.08056,0.13869,0.013,1.69855,0.10728,0.01339,0.02586,0.19502,0.79718,1.71719,1.51083,0,1.52066,0,0.12101,0.10728,1.71719,1.51083,0.43085,0.33333,0.46605,0.43054,1.52066,0.03503,0.25886
2026-06-17 21:00:00,2.46459,0,-0.00931,-0.00142,-0.012,0,0,0.001,0.23097,0.63487,0.7482,1.78185,0.008,0.12001,0.43085,0.00001,0,0.00001,0,-0.01174,0.00001,0.46405,1.08496,0.08067,0.12022,0.013,1.81966,0.10181,0.01372,0.04408,0.19602,0.79737,1.70519,1.51381,0,1.54013,0,0.12001,0.10181,1.70519,1.51381,0.43085,0.33112,0.46405,0.43166,1.54013,0.03502,0.25873
2026-06-17 22:00:00,2.43177,0,-0.00087,-0.009,0,0,0,0.001,0.23097,0.64403,0.75308,1.71305,0.008,0.12001,0.42567,0.00001,0,0.00001,0,-0.02051,0.00001,0.46105,1.04521,0.08067,0.13831,0.013,1.81966,0.09644,0.01368,0.07554,0.19602,0.79734,1.70019,1.5168,0,1.53363,0,0.12001,0.09644,1.70019,1.5168,0.42567,0.3267,0.46105,0.43277,1.53363,0.03502,0.25864
2026-06-17 23:00:00,2.39912,0,-0.00087,-0.01417,-0.012,0,0,0.001,0.22903,0.63031,0.7482,1.4244,0.00764,0.12401,0.42309,0.00001,0,0.00001,0,-0.01757,0.00001,0.45605,1.02611,0.0806,0.1351,0.013,1.81966,0.0929,0.01366,0.07303,0.19502,0.7971,1.70519,1.51979,0,1.53363,0,0.12401,0.0929,1.70519,1.51979,0.42309,0.32451,0.45605,0.43369,1.53363,0.03501,0.25856
2026-06-18 00:00:00,2.30174,0,-0.00084,-0.01408,0,0,0,0.001,0.23292,0.61228,0.75308,0.99256,0.00764,0.12201,0.42309,0.00001,0,0.00001,0,-0.01613,0.00001,0.45105,0.98539,0.07002,0.1152,0.013,1.81966,0.08766,0.01363,0.05894,0.19502,0.79665,1.68819,1.51979,0,1.54664,0,0.12201,0.08766,1.68819,1.51979,0.42309,0.32451,0.45105,0.43424,1.54664,0.03501,0.25849
2026-06-18 01:00:00,2.20381,0,0.00761,-0.01959,0,0,0,0.001,0.27394,0.60782,0.74334,0.63493,0.00764,0.12301,0.42309,0.00001,0,0.00001,0,-0.02201,0.00001,0.45105,1.02208,0.05948,0.11141,0.013,1.81966,0.08252,0.01359,0.05232,0.19302,0.79727,1.71719,1.52878,0,1.54664,0,0.12301,0.08252,1.71719,1.52878,0.42309,0.32451,0.45105,0.43437,1.54664,0.03501,0.25843
2026-06-18 02:00:00,2.1708,0,0.0165,-0.0195,-0.012,0,0,0.001,0.24903,0.59895,0.71928,0.27655,0.00729,0.12301,0.42309,0.00001,0,0.00001,0,-0.01466,0.00001,0.45105,1.00019,0.05941,0.10683,0.013,1.81966,0.08082,0.01357,0.04566,0.19402,0.79773,1.72819,1.52578,0,1.54013,0,0.12301,0.08082,1.72819,1.52578,0.42309,0.32451,0.45105,0.43415,1.54013,0.03501,0.25838
2026-06-18 03:00:00,2.23609,0,0.0175,-0.01358,0,0,0,0.001,0.27591,0.58578,0.71125,-0.08466,0.00729,0.12501,0.42309,0.00001,0,0.00001,0,0.00003,0.00001,0.44505,0.90049,0.04963,0.11329,0.013,1.81966,0.08082,0.01392,0.00838,0.19502,0.79806,1.72819,1.52279,0,1.54664,0,0.12501,0.08082,1.72819,1.52279,0.42309,0.32451,0.44505,0.43359,1.54664,0.035,0.25834
2026-06-18 04:00:00,2.29972,0,0.01897,-0.00283,0,0,0,0.001,0.28391,0.57708,0.70503,-0.30043,0.00729,0.12601,0.42309,0.00001,0,0.00001,0,0.00588,0.00001,0.44305,0.93709,0.04963,0.09512,0.012,1.81966,0.07914,0.01356,-0.00074,0.19302,0.79824,1.72819,1.52279,0,1.54013,0,0.12601,0.07914,1.72819,1.52279,0.42309,0.32231,0.44305,0.43266,1.54013,0.03499,0.2583
2026-06-18 05:00:00,2.32872,0,0.02091,-0.00367,0.012,0,0,0.001,0.28594,0.57276,0.70976,-0.37073,0.00729,0.12701,0.42567,0.00001,0,0.00001,0,0.00883,0.00001,0.44305,0.95574,0.05931,0.08525,0.012,1.81966,0.0758,0.01352,0.02409,0.19102,0.79826,1.71719,1.52279,0,1.54664,0,0.12701,0.0758,1.71719,1.52279,0.42567,0.32013,0.44305,0.43148,1.54664,0.03498,0.25827
2026-06-18 06:00:00,2.53526,0,0.02289,-0.00833,0,0,0,0.001,0.28391,0.56846,0.70976,-0.22663,0.00729,0.13101,0.42567,0.00001,0,0.00001,0,0.00883,0.00001,0.44305,0.91832,0.06985,0.08396,0.012,1.81966,0.07414,0.01386,0.03404,0.18802,0.79815,1.71719,1.52279,0,1.55317,0,0.13101,0.07414,1.71719,1.52279,0.42567,0.31795,0.44305,0.43024,1.55317,0.03497,0.25824
2026-06-18 07:00:00,2.77073,0,0.01638,-0.00683,0,0,0,0.001,0.28391,0.56418,0.69561,-0.00904,0.00696,0.13001,0.42826,0.00001,0,0.00001,0,0.00589,0.00001,0.44305,0.86248,0.08036,0.10023,0.012,1.81966,0.07087,0.01387,0.03157,0.19102,0.79921,1.72819,1.52279,0,1.55317,0,0.13001,0.07087,1.72819,1.52279,0.42826,0.31361,0.44305,0.42898,1.55317,0.03496,0.25822
2026-06-18 08:00:00,2.94026,0,0.01782,-0.00733,0.012,0,0,0.001,0.2819,0.56418,0.69093,0.06248,0.00696,0.12801,0.42567,0.00001,0,0.00001,0,0,0.00001,0.44505,0.88658,0.08029,0.10014,0.012,1.81966,0.07087,0.01348,0.03242,0.19402,0.80023,1.72219,1.52279,0,1.57283,0,0.12801,0.07087,1.72219,1.52279,0.42567,0.31145,0.44505,0.42761,1.57283,0.03496,0.25819
2026-06-18 09:00:00,3.0769,0,0.02671,-0.00908,0,0,0,0.001,0.31504,0.57276,0.67234,0.05978,0.00696,0.12701,0.43085,0.00001,0,0.00001,0,-0.00294,0.00001,0.44505,0.93088,0.08997,0.09927,0.012,1.81966,0.06924,0.01345,0.03825,0.19402,0.80122,1.72819,1.52279,0,1.5794,0,0.12701,0.06924,1.72819,1.52279,0.43085,0.3093,0.44505,0.42615,1.5794,0.03495,0.25817
2026-06-18 10:00:00,3.16507,0,0.02671,-0.01008,0,0,0,0.001,0.333,0.58141,0.68161,0.06013,0.00696,0.12801,0.43345,0.00001,0,0.00001,0,0,0.00001,0.45105,0.91765,0.08997,0.11626,0.012,1.81237,0.06924,0.01381,0.01262,0.19502,0.80217,1.71719,1.52279,0,1.58598,0,0.12801,0.06924,1.71719,1.52279,0.43345,0.30715,0.45105,0.42457,1.58598,0.03494,0.25815
2026-06-18 11:00:00,3.25468,0,0.02671,-0.00592,0,0,0,0.001,0.33897,0.58578,0.67234,0.35986,0.00696,0.12701,0.43345,0.00001,0,0.00001,0,-0.00733,0.00001,0.45105,0.92205,0.08032,0.12811,0.012,1.80508,0.0725,0.01343,-0.01552,0.19502,0.80307,1.71719,1.52279,0,1.5794,0,0.12701,0.0725,1.71719,1.52279,0.43345,0.30715,0.45105,0.42293,1.5794,0.03492,0.25813
2026-06-18 12:00:00,3.23116,0,0.02668,-0.00625,0,0,0,0.001,0.34895,0.59454,0.67697,0.73519,0.00696,0.12701,0.43345,0.00001,0,0.00001,0,-0.01319,0.00001,0.45105,0.98276,0.08032,0.16579,0.012,1.79779,0.0758,0.01341,-0.01799,0.19502,0.80395,1.71719,1.52279,0,1.58598,0,0.12701,0.0758,1.71719,1.52279,0.43345,0.30715,0.45105,0.42126,1.58598,0.03491,0.25689
2026-06-18 13:00:00,3.23116,0,0.02677,-0.01075,0,0,0,0.001,0.34502,0.60337,0.68152,0.96151,0.00696,0.12701,0.43605,0.00001,0,0.00001,0,-0.01466,0.00001,0.44805,1.04397,0.08035,0.14729,0.012,1.7905,0.07914,0.0134,-0.02958,0.19602,0.80661,1.71719,1.52279,0,1.58598,0,0.12701,0.07914,1.71719,1.52279,0.43605,0.3093,0.44805,0.41953,1.58598,0.0349,0.25361
2026-06-18 14:00:00,3.23196,0,0.0268,-0.01792,0.012,0,0,0.001,0.33897,0.63487,0.68626,1.33754,0.00696,0.12801,0.43605,0.00001,0,0.00001,0,-0.0176,0.00001,0.44305,1.02452,0.08046,0.16279,0.012,1.78321,0.08082,0.01375,-0.04035,0.19502,0.80922,1.72219,1.52279,0,1.58598,0,0.12801,0.08082,1.72219,1.52279,0.43605,0.3093,0.44305,0.4179,1.58598,0.0349,0.24921
2026-06-18 15:00:00,3.18037,0,0.01877,-0.02417,0,0,0,0.001,0.32094,0.63031,0.68161,1.78842,0.00696,0.12701,0.43605,0.00001,0,0.00001,0,-0.02054,0.00001,0.43805,0.98224,0.08053,0.19105,0.011,1.77592,0.08082,0.01337,-0.0089,0.19502,0.81177,1.71719,1.52578,0,1.58598,0,0.12701,0.08082,1.71719,1.52578,0.43605,0.31361,0.43805,0.41645,1.58598,0.03489,0.24774
