GMT,FRAC1,LTDC1,HIDC1,BHNC1,MPAC1,OWCC1,BNCC1,BCKC1,MEEC1,HPIC1,POHC1,EXQC1,DSNC1,STVC1,NWMC1,LGCC1,WARC1,LGAC1,PNEC1,LBDC1,OREC1,PATC1,HETC1,LNRC1,CHVC1F,DCMC1,NDPC1,MDSC1,NDVC1,NSWC1,AVYC1,NMSC1,OBBC1,RIPC1,PTTC1,VNSC1,KNFC1L,STVC1,MDSC1,OBBC1,RIPC1,NWMC1,CRDC1,PATC1,MZRC1,VNSC1,AVYC1L,NDPC1L
,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,QINE,SQIN,SQIN
2026-06-06 12:00:00,2.67534,0,-0.00624,0.0025,0,0.001,0,0.001,0.20393,0.94191,1.1048,1.25141,0.01208,0.13702,0.48384,0.00001,0,0,0,-0.0083,0.00001,0.52506,1.93491,0.14039,0.30085,0.011,2.62242,0.08766,0.0256,0.06209,0.19602,1.13479,1.09212,1.41673,0,1.95165,0.00024,0.13702,0.08766,1.09212,1.41673,0.48384,0.39085,0.52506,0.52641,1.95165,0.03851,0.37529
2026-06-06 13:00:00,2.73327,0,-0.00634,-0.009,0,0.001,0,0.001,0.20253,0.97056,1.08685,1.4971,0.01208,0.13702,0.48654,0.00001,0,0,0,-0.01318,0.00001,0.52506,1.89862,0.15048,0.33836,0.011,2.5875,0.0894,0.02487,0.02069,0.19502,1.11831,1.08712,1.38789,0,1.95165,0.00023,0.13702,0.0894,1.08712,1.38789,0.48654,0.39562,0.52506,0.52443,1.95165,0.03848,0.36959
2026-06-06 14:00:00,2.79185,0,-0.00656,-0.024,0,0.001,0,0.001,0.20393,0.98214,1.11051,1.65769,0.01208,0.13802,0.48925,0.00001,0,0,0,-0.01613,0.00001,0.53106,1.95083,0.16061,0.37586,0.011,2.55259,0.09466,0.02558,0.04137,0.19602,1.10191,1.09212,1.35933,0,1.94445,0.00022,0.13802,0.09466,1.09212,1.35933,0.48925,0.40042,0.53106,0.52245,1.94445,0.03847,0.36956
2026-06-06 15:00:00,2.85017,0,-0.00226,-0.03642,0,0.001,0,0.001,0.20533,1.00555,1.11051,1.97372,0.01246,0.14202,0.49197,0.00001,0,0,0,-0.02346,0.00001,0.53106,1.96676,0.16061,0.40345,0.011,2.51767,0.09822,0.02558,0.04137,0.19502,1.08552,1.09212,1.33086,0.00001,1.93009,0.00022,0.14202,0.09822,1.09212,1.33086,0.49197,0.40283,0.53106,0.52059,1.93009,0.03845,0.36953
2026-06-06 16:00:00,2.90785,0,0.00666,-0.02567,0,0.001,0,0.001,0.20816,0.99967,1.13443,2.28787,0.01246,0.14202,0.49197,0.00001,0,0,0,-0.03128,0.00001,0.53406,1.92686,0.15055,0.40471,0.011,2.50439,0.10181,0.0235,0.02151,0.19802,1.06915,1.09212,1.30533,0.00001,1.92291,0.00021,0.14202,0.10181,1.09212,1.30533,0.49197,0.40768,0.53406,0.51892,1.92291,0.03843,0.3695
2026-06-06 17:00:00,2.96552,0,0.02017,-0.02317,0,0.001,0,0.001,0.21277,0.99381,1.13443,2.2757,0.01246,0.14202,0.4947,0.00001,0,0.00001,0,-0.02934,0.00001,0.53606,1.89927,0.15062,0.40346,0.011,2.49112,0.10363,0.0242,0.0422,0.19602,1.05283,1.09212,1.27722,0.00001,1.91576,0.0002,0.14202,0.10363,1.09212,1.27722,0.4947,0.41011,0.53606,0.51752,1.91576,0.0384,0.36946
2026-06-06 18:00:00,2.96552,0,0.02028,-0.02434,0,0.001,0,0.001,0.21453,0.99967,1.16468,1.85562,0.01246,0.14102,0.4947,0.00001,0,0,0,-0.02057,0.00001,0.54506,1.93194,0.15069,0.37058,0.011,2.47784,0.10181,0.02383,0.02319,0.19602,1.03653,1.09212,1.25217,0,1.90862,0.00019,0.14102,0.10181,1.09212,1.25217,0.4947,0.41011,0.54506,0.51645,1.90862,0.03838,0.36941
2026-06-06 19:00:00,3.02327,0,0.02041,-0.01892,-0.012,0.001,0,0.001,0.21277,0.99381,1.16173,1.68024,0.01246,0.14102,0.50016,0.00001,0,0,0,-0.00886,0.00001,0.54706,1.92587,0.16075,0.37928,0.011,2.46456,0.10001,0.02454,0.06459,0.19502,1.03038,1.09712,1.2301,0.00001,1.90862,0.00019,0.14102,0.10001,1.09712,1.2301,0.50016,0.41011,0.54706,0.51571,1.90862,0.03836,0.36936
2026-06-06 20:00:00,3.08102,0,0.02069,-0.00875,0,0.001,0,0.001,0.21453,0.97634,1.1586,1.83649,0.01246,0.13902,0.50016,0.00001,0,0,0,0.00091,0.00001,0.55006,1.77915,0.16068,0.36996,0.011,2.45129,0.09644,0.02526,0.08528,0.19602,1.02423,1.09212,1.21367,0.00001,1.88017,0.00018,0.13902,0.09644,1.09212,1.21367,0.50016,0.41011,0.55006,0.51525,1.88017,0.03835,0.36931
