GMT,SAMC1,SACC1,VONC1,FMWC1,DRMC1,FPOC1,RCVC1,SACC1,FMWC1L,SACC1L,SAMC1L,NCOC1L,SACC1,SAMC1,NCOC1
,QINE,QINE,QINE,QINE,QINE,QINE,QINE,SQIN,SQIN,SQIN,SQIN,SQIN,SSTG,SSTG,SSTG
2026-05-21 19:00:00,2.52483,14.2511,6.48046,7.34482,0.19649,11.30126,0.02784,9.01534,0.02846,0.02151,0.00047,0,7.04,16.62,16.93998
2026-05-21 20:00:00,2.52483,13.5656,6.48046,7.34482,0.1919,12.30137,0.02784,8.97145,0.02845,0.02149,0.00047,0,6.82,16.62,16.93998
2026-05-21 21:00:00,2.50628,12.89221,6.48046,7.31678,0.1919,13.00145,0.02844,8.92226,0.02844,0.02148,0.00047,0,6.6,16.61,16.93998
2026-05-21 22:00:00,2.50628,12.23111,6.44124,7.30278,0.19418,13.00145,0.02844,8.87141,0.02843,0.02146,0.00047,0,6.38,16.61,16.93998
2026-05-21 23:00:00,2.50628,11.47203,6.40309,7.2888,0.18964,13.40149,0.02906,8.83712,0.02842,0.02145,0.00047,0,6.13,16.61,16.93998
2026-05-22 00:00:00,2.50628,10.70119,6.35681,7.26089,0.18741,13.60152,0.02906,8.83032,0.02841,0.02143,0.00047,0,5.87,16.61,16.93998
2026-05-22 01:00:00,2.50628,9.99216,6.29524,7.24696,0.19418,13.40149,0.0297,8.83733,0.0284,0.02142,0.00047,0,5.62,16.61,16.93998
2026-05-22 02:00:00,2.50628,9.30104,6.21854,7.21913,0.18964,12.20136,0.03034,8.84383,0.02839,0.02141,0.00047,0,5.37,16.61,16.93998
2026-05-22 03:00:00,2.52483,8.7036,6.15738,7.21913,0.18741,8.931,0.03034,8.84179,0.02838,0.02139,0.00047,0,5.16,16.62,16.93998
2026-05-22 04:00:00,2.52483,8.50798,6.14211,7.20524,0.19418,5.09057,0.031,8.82662,0.02838,0.02138,0.00047,0,5.09,16.62,16.93998
2026-05-22 05:00:00,2.52483,9.30104,6.06597,7.20524,0.1919,2.28025,0.031,8.80021,0.02837,0.02137,0.00047,0,5.37,16.62,16.93998
2026-05-22 06:00:00,2.5435,10.24536,6.03559,7.20524,0.18964,0.61407,0.03164,8.76261,0.02836,0.02135,0.00047,0,5.71,16.63,16.93998
2026-05-22 07:00:00,2.5435,11.2327,5.97497,7.21913,0.1852,0.65107,0.03164,8.71197,0.02835,0.02134,0.00047,0,6.05,16.63,16.93998
2026-05-22 08:00:00,2.52483,12.07863,5.97497,7.23304,0.18964,2.9547,0.03164,8.65166,0.02834,0.02133,0.00047,0,6.33,16.62,16.93998
