Surface Oriented Particles for 469 (Jersey Point),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",-902.0,-902.0,"2,806.0","3,608.0",-902.0,-902.0
"-5,000",4.5,19.1,98.4,2.6,0.1,0.2
"-3,500",5.3,19.2,96.1,1.3,0.0,0.1
"-2,000",4.7,18.8,96.6,1.4,0.0,0.0
"-6,500",-902.0,-902.0,"2,806.0","3,608.0",-902.0,-902.0
"-5,000",38.1,28.3,70.9,5.6,1.9,1.5
"-3,500",47.4,28.0,56.4,2.6,0.6,0.6
"-2,000",45.1,25.6,58.2,2.8,0.5,0.1
"-6,500",-902.0,-902.0,"2,806.0","3,608.0",-902.0,-902.0
"-5,000",42.2,29.8,70.7,4.5,4.0,4.4
"-3,500",54.8,29.5,51.9,3.7,1.5,1.4
"-2,000",49.8,26.9,54.9,3.2,1.2,0.2
