Date,Scenario,SUT_RATIO,STM_RATIO,SACR_SS_RATIO,SACR_GEO_RATIO,GEO_RATIO,DCC_RATIO,SUT_SUV,STM_SUV,SAC_SUV,GEO_SUV,DCC_SUV,Combined_suv,Model_Run
27-May-26,historical,0.10,0.10,0.80,0.78,0.19,0.03,41%,51%,44%,24%,7%,40%,A
27-May-26,historical,0.10,0.10,0.80,0.77,0.20,0.03,41%,50%,43%,25%,2%,40%,B
27-May-26,historical,0.09,0.08,0.83,0.74,0.16,0.10,43%,51%,42%,19%,6%,37%,C
