"                               Region
       Metric","West 

(359)","Suisun

(329, 420)","Sacramento/
North Delta 

(314, 323, 350)","Lower San Joaquin

(34, 41, 46, 469)","Lower Sacramento

(465, 353)","South Delta

(29, 86, 99, 225)","East

(249, 261)",Delta-wide Total (#),Delta-wide Total (%)
LFS Larva Abundance Estimate,"117,633,687","145,677,478","304,865","4,078,739","3,695,676",0,0,"271,390,445",-
PTM Entrained (%),-1804,-1804,-1804,-1804,-1804,0,0,-,-
PTM Entrained (%),0,0,0,0.1,0,0,0,-,-
PTM Entrained (%),0,0,0,0,0,0,0,-,-
PTM Entrained (%),0,0,0,0,0,0,0,-,-
Smelt Larva Entrained (#),"-2,122,111,713","-2,628,021,703","-5,499,765","-73,580,452","-66,669,995",0,0,"-4,895,883,628",-1804.00%
Smelt Larva Entrained (#),0,0,0,"5,830",0,0,0,"5,830",<0.1%
Smelt Larva Entrained (#),0,0,0,0,0,0,0,0,0%
Smelt Larva Entrained (#),0,0,0,0,0,0,0,0,0%
