Surface Oriented Particles for 350 (Cache Slough),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",-902.0,-902.0,"2,806.0","3,608.0",-902.0,-902.0
"-5,000",6.2,58.9,93.9,0.1,0.0,0.0
"-3,500",7.9,61.8,92.3,0.2,0.0,0.0
"-2,000",1.9,51.9,98.3,0.2,0.0,0.0
"-6,500",-902.0,-902.0,"2,806.0","3,608.0",-902.0,-902.0
"-5,000",48.3,71.1,54.2,1.6,0.6,0.3
"-3,500",55.8,71.0,45.5,0.9,0.2,0.2
"-2,000",39.0,64.5,62.1,1.1,0.0,0.0
"-6,500",-902.0,-902.0,"2,806.0","3,608.0",-902.0,-902.0
"-5,000",50.5,73.3,54.2,1.8,1.6,1.3
"-3,500",60.1,74.1,42.4,1.8,0.4,0.3
"-2,000",45.5,65.4,56.3,1.2,0.5,0.1
