Metric,West Suisun Bay,East Suisun Bay,Grizzly Bay,Montezuma Slough,Honker Bay,Carquinez Strait,Upper Napa River,Lower Napa River,East San Pablo Bay,West San Pablo Bay,Mid San Pablo Bay,Lower Sacramento River Ship Channel,Sacramento River near Ryde,Cache Slough and Liberty Island,Upper Sacramento River,San Joaquin River at Prisoners Pt,San Joaquin River at Twitchell Island,Lower San Joaquin River,Lower Sacramento River,Sacramento River near Rio Vista,San Joaquin River near Stockton,Old River,Middle River,Victoria Canal,Holland Cut,Franks Tract,North and South Forks Mokelumne River,Total
DSM2 Node,359.0,329.0,365.0,420.0,227.0,359.0,359.0,359.0,359.0,359.0,359.0,350.0,293.0,323.0,304.0,34.0,41.0,46.0,353.0,351.0,29.0,86.0,145.0,75.0,99.0,225.0,249.0,
LFS Abundance,48167568.0,83098378.0,5195676.0,301802.0,8914054.0,57342973.0,269730.0,12035135.0,10197973.0,0.0,37787876.0,0.0,0.0,304865.0,0.0,650270.0,429730.0,2998739.0,3291892.0,403784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271390445
"PTM (%) -5,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,10.2,0.8,0.6,31.1,11.1,0.3,0.4,1.1,25.6,85.7,88.9,92.9,70.0,12.5,14.2,446.3
"PTM (%) -3,500",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3.1,0.1,0.3,11.9,3.5,0.0,0.2,0.4,8.6,78.4,75.5,88.5,55.2,6.6,3.6,336.3
"PTM (%) -2,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.1,2.0,0.4,0.0,0.0,0.1,0.7,46.6,43.0,79.2,23.1,2.2,0.3,198.8
"Entrained (#) -5,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2438.9,0.0,202234.0,47700.0,8996.2,13167.6,4441.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278978.0
"Entrained (#) -3,500",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.9,0.0,77382.1,15040.5,0.0,6583.8,1615.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100926.0
"Entrained (#) -2,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13005.4,1718.9,0.0,0.0,403.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15128.0
