Neutral Particles for 465 (Chipps),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",<0.1,-902.0,"2,806.0","3,608.0",-902.0,-902.0
"-5,000",58.7,0.1,41.3,0.0,0.0,0.0
"-3,500",65.5,-0.1,34.5,0.0,0.0,0.0
"-2,000",54.3,0.0,45.8,0.0,0.0,0.0
"-6,500",-902.0,-902.0,"2,806.0","3,608.0",-902.0,-902.0
"-5,000",82.2,0.3,17.9,0.1,0.0,0.0
"-3,500",86.3,0.1,13.7,0.0,0.0,0.0
"-2,000",77.9,0.3,22.1,0.0,0.0,0.0
"-6,500",-902.0,-902.0,"2,806.0","3,608.0",-902.0,-902.0
"-5,000",76.0,0.3,24.1,0.1,0.0,0.0
"-3,500",82.0,0.2,18.0,0.0,0.0,0.0
"-2,000",71.5,0.3,28.5,0.0,0.0,0.0
