Neutral Particles for 350 (Cache Slough),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",-902.0,-902.0,2806.0,3608.0,-902.0,-902.0
"-5,000",0.7,62.8,99.6,0.3,0.0,0.0
"-3,500",1.1,63.5,99.0,0.1,0.0,0.0
"-2,000",0.3,51.8,99.7,0.0,0.0,0.0
"-6,500",-902.0,-902.0,2806.0,3608.0,-902.0,-902.0
"-5,000",30.1,71.8,72.5,2.0,0.3,0.3
"-3,500",39.3,73.4,62.0,1.0,0.0,0.2
"-2,000",23.7,64.3,76.9,0.6,0.0,0.0
"-6,500",-902.0,-902.0,2806.0,3608.0,-902.0,-902.0
"-5,000",32.4,75.2,72.2,2.2,1.0,1.4
"-3,500",42.0,76.5,60.3,1.6,0.1,0.6
"-2,000",26.6,66.5,74.6,1.1,0.0,0.1
