Surface Oriented Particles for 99 (Old River),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",-902.0,-902.0,-802.0,"3,608.0",-902.0,-902.0
"-5,000",0.0,0.3,8.5,52.8,19.7,18.9
"-3,500",0.0,0.2,16.5,64.6,9.2,9.8
"-2,000",0.1,0.6,29.7,68.7,1.3,0.2
"-6,500",-902.0,-902.0,-802.0,"3,608.0",-902.0,-902.0
"-5,000",0.6,0.8,5.8,26.0,25.5,42.1
"-3,500",1.9,2.0,11.6,33.6,15.9,37.0
"-2,000",1.6,3.1,23.7,53.5,17.0,4.3
"-6,500",-902.0,-902.0,-802.0,"3,608.0",-902.0,-902.0
"-5,000",0.7,1.0,5.0,17.6,27.5,49.3
"-3,500",3.2,2.5,8.0,23.0,18.0,47.8
"-2,000",3.9,3.6,17.9,45.5,22.5,10.2
