Metric,Western Delta,Suisun Marsh,Sacramento/North Delta,Lower San Joaquin,Lower Sacramento,South Delta,Eastern Delta,Total
LFS Abundance (Grouped),117633687.0,145677478.0,304865.0,4078739.0,3695676.0,0.0,0.0,271390445.0
"PTM (%) -5,000",0.0,0.0,3.1,14.2,0.8,62.6,14.2,94.9
"PTM (%) -3,500",0.0,0.0,1.0,5.1,0.3,52.1,3.6,62.1
"PTM (%) -2,000",0.0,0.0,0.3,0.8,0.1,32.5,0.3,34.0
"Entrained (#) -5,000",0.0,0.0,2438.9,258930.2,17609.2,0.0,0.0,278978.0
"Entrained (#) -3,500",0.0,0.0,304.9,92422.7,8198.9,0.0,0.0,100926.0
"Entrained (#) -2,000",0.0,0.0,0.0,14724.3,403.8,0.0,0.0,15128.0
