Metric,Western Delta,Suisun Marsh,Sacramento/North Delta,Lower San Joaquin,Lower Sacramento,South Delta,Eastern Delta,Total
LFS Abundance (Grouped),117633687.0,145677478.0,304865.0,4078739.0,3695676.0,0.0,0.0,271390445.0
"PTM (%) -5,000",0.0,0.0,0.2,0.8,0.0,44.4,0.1,45.5
"PTM (%) -3,500",0.0,0.0,0.0,0.1,0.0,33.7,0.0,33.8
"PTM (%) -2,000",0.0,0.0,0.0,0.0,0.0,20.4,0.0,20.4
"Entrained (#) -5,000",0.0,0.0,0.0,13401.1,0.0,0.0,0.0,13401.0
"Entrained (#) -3,500",0.0,0.0,0.0,1300.5,0.0,0.0,0.0,1301.0
"Entrained (#) -2,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
