Neutral Particles for 99 (Old River),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",-902.0,-902.0,-802.0,3608.0,-902.0,-902.0
"-5,000",0.0,0.0,6.5,57.7,17.5,18.3
"-3,500",0.0,0.1,14.6,73.7,5.0,6.6
"-2,000",0.0,0.4,33.9,66.0,0.0,0.1
"-6,500",-902.0,-902.0,-802.0,3608.0,-902.0,-902.0
"-5,000",0.1,0.7,4.7,25.9,22.0,47.3
"-3,500",0.2,1.0,10.7,41.1,14.7,33.4
"-2,000",0.7,3.0,27.3,56.3,13.0,2.7
"-6,500",-902.0,-902.0,-802.0,3608.0,-902.0,-902.0
"-5,000",0.1,0.7,3.6,16.9,24.1,55.3
"-3,500",0.5,1.5,9.2,28.4,16.5,45.4
"-2,000",1.7,3.9,23.8,46.0,19.9,8.6
