Neutral Particles for 469 (Jersey Point),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",1.2,18.0,99.1,0.3,0.0,0.0
"-5,000",2.6,18.6,97.5,0.1,0.0,0.0
"-3,500",3.5,14.2,96.7,0.2,0.0,0.0
"-2,000",3.5,16.1,96.9,0.4,0.0,0.0
"-6,500",22.2,25.8,79.2,0.8,0.6,0.0
"-5,000",26.1,26.4,74.7,0.7,0.0,0.1
"-3,500",28.7,20.9,71.9,0.6,0.0,0.0
"-2,000",32.4,21.6,68.2,0.6,0.0,0.0
"-6,500",52.0,29.5,49.8,1.1,0.6,0.1
"-5,000",59.4,30.3,41.6,0.9,0.0,0.1
"-3,500",63.1,25.6,37.6,0.7,0.0,0.0
"-2,000",65.9,24.9,34.9,0.8,0.0,0.0
