Surface Oriented Particles for 350 (Cache Slough),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",16.1,65.9,84.1,0.3,0.0,0.0
"-5,000",17.6,69.4,82.5,0.1,0.0,0.0
"-3,500",18.1,67.8,81.9,0.0,0.0,0.0
"-2,000",20.4,69.5,79.6,0.0,0.0,0.0
"-6,500",57.1,72.3,44.0,0.8,0.2,0.1
"-5,000",60.8,75.1,40.0,0.7,0.0,0.0
"-3,500",61.6,73.5,38.9,0.5,0.0,0.0
"-2,000",66.4,75.1,33.6,0.0,0.0,0.0
"-6,500",76.8,77.1,24.4,0.7,0.4,0.1
"-5,000",79.4,78.7,21.3,0.5,0.2,0.0
"-3,500",80.3,77.6,20.3,0.6,0.0,0.0
"-2,000",82.1,78.2,18.0,0.1,0.0,0.0
