Neutral Particles for 465 (Chipps),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",78.4,0.0,21.6,0.0,0.0,0.0
"-5,000",82.4,0.0,17.6,0.0,0.0,0.0
"-3,500",82.8,0.0,17.3,0.0,0.0,0.0
"-2,000",85.3,0.0,14.7,0.0,0.0,0.0
"-6,500",85.5,0.0,14.5,0.0,0.0,0.0
"-5,000",87.3,0.5,12.8,0.0,0.0,0.0
"-3,500",89.3,0.0,10.7,0.0,0.0,0.0
"-2,000",91.6,0.0,8.4,0.0,0.0,0.0
"-6,500",93.8,0.1,6.3,0.0,0.0,0.0
"-5,000",94.3,0.6,5.7,0.0,0.0,0.0
"-3,500",94.7,0.2,5.3,0.0,0.0,0.0
"-2,000",95.4,0.0,4.6,0.0,0.0,0.0
