Neutral Particles for 99 (Old River),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",0.0,0.4,19.1,45.2,35.4,0.4
"-5,000",0.0,0.9,28.9,58.1,12.9,0.1
"-3,500",0.0,0.7,44.0,54.7,1.3,0.0
"-2,000",0.1,1.2,58.1,41.8,0.0,0.0
"-6,500",0.4,1.4,14.0,22.7,60.3,2.6
"-5,000",0.7,2.8,24.0,25.1,47.9,2.3
"-3,500",0.8,2.8,34.1,34.9,29.0,1.2
"-2,000",1.8,3.5,50.2,42.4,5.2,0.4
"-6,500",1.8,2.8,12.1,19.4,61.2,5.4
"-5,000",3.7,5.6,20.5,21.6,49.1,5.1
"-3,500",5.1,6.2,29.3,30.6,31.2,3.9
"-2,000",8.3,7.9,42.3,39.2,8.5,1.6
