Neutral Particles for 350 (Cache Slough),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",2.5,71.4,97.5,0.0,0.0,0.0
"-5,000",4.5,72.5,95.6,0.1,0.0,0.0
"-3,500",4.6,70.0,95.4,0.0,0.0,0.0
"-2,000",4.9,74.5,95.1,0.0,0.0,0.0
"-6,500",38.3,77.1,62.2,0.5,0.0,0.0
"-5,000",41.3,77.4,59.2,0.4,0.0,0.1
"-3,500",42.2,76.3,58.2,0.4,0.0,0.0
"-2,000",50.3,79.0,49.9,0.2,0.0,0.0
"-6,500",66.6,81.3,34.1,0.5,0.1,0.1
"-5,000",67.4,82.0,33.2,0.5,0.0,0.1
"-3,500",68.4,79.9,32.1,0.5,0.0,0.0
"-2,000",75.7,82.3,24.7,0.4,0.0,0.0
